0.000000	0.031891	0.025177	0.017548	0.017243	-0.004425	0.012055	0.012665	0.001984	0.009918	-0.012055
0.000100	0.032807	0.023651	0.012665	0.018769	-0.008087	0.003204	0.007477	0.000153	0.005035	-0.017243
0.000200	0.031891	0.019684	0.008392	0.024567	-0.003815	0.001373	0.003815	0.000763	0.001373	-0.019074
0.000300	0.021820	0.014191	0.009308	0.023346	-0.000458	-0.002899	0.005341	0.001068	-0.002899	-0.020295
0.000400	0.012665	0.006867	-0.002289	0.010834	-0.015412	0.000153	0.005035	0.000153	-0.014191	-0.020295
0.000500	0.003815	-0.001678	-0.022126	-0.010834	-0.032502	-0.001373	-0.001984	-0.008087	-0.027008	-0.035554
0.000600	-0.017243	-0.014801	-0.033112	-0.033417	-0.044709	-0.013275	-0.013275	-0.020600	-0.033722	-0.051423
0.000700	-0.042878	-0.036469	-0.046845	-0.045014	-0.060273	-0.030671	-0.028534	-0.027619	-0.039826	-0.059358
0.000800	-0.058747	-0.056306	-0.070344	-0.059968	-0.069123	-0.042573	-0.035248	-0.030671	-0.048066	-0.068208
0.000900	-0.078279	-0.079805	-0.091096	-0.083162	-0.070039	-0.058442	-0.037079	-0.040131	-0.057221	-0.073701
0.001000	-0.090486	-0.098421	-0.095979	-0.102083	-0.078584	-0.064546	-0.048371	-0.055085	-0.063935	-0.083772
0.001100	-0.087434	-0.097505	-0.083162	-0.107576	-0.081331	-0.071870	-0.063630	-0.064240	-0.077363	-0.098421
0.001200	-0.078584	-0.086824	-0.066987	-0.101778	-0.074006	-0.087739	-0.073701	-0.073701	-0.090181	-0.109712
0.001300	-0.068818	-0.082856	-0.051118	-0.090181	-0.057832	-0.089876	-0.066987	-0.078889	-0.084688	-0.103914
0.001400	-0.055390	-0.072480	-0.042267	-0.074617	-0.041352	-0.075227	-0.045014	-0.066072	-0.069429	-0.085908
0.001500	-0.044709	-0.058747	-0.046235	-0.067903	-0.040742	-0.056611	-0.024567	-0.045930	-0.062104	-0.070344
0.001600	-0.045014	-0.061494	-0.048676	-0.069123	-0.044709	-0.037385	-0.028840	-0.036774	-0.056001	-0.074006
0.001700	-0.045319	-0.066377	-0.037690	-0.074617	-0.042573	-0.032197	-0.038605	-0.034333	-0.051118	-0.084382
0.001800	-0.037995	-0.060884	-0.032502	-0.075532	-0.036469	-0.037385	-0.033722	-0.036164	-0.052338	-0.087739
0.001900	-0.021210	-0.050202	-0.029450	-0.069429	-0.019074	-0.039216	-0.032807	-0.039216	-0.057221	-0.088350
0.002000	-0.003510	-0.042573	-0.014191	-0.061494	-0.001984	-0.032807	-0.030976	-0.039826	-0.063325	-0.092012
0.002100	0.002899	-0.033417	0.000458	-0.054475	-0.001373	-0.025788	-0.022736	-0.032502	-0.060273	-0.090181
0.002200	0.004425	-0.030976	0.002594	-0.046235	-0.006561	-0.016327	-0.023346	-0.027924	-0.056611	-0.081636
0.002300	0.009613	-0.033112	0.002594	-0.047761	-0.007172	-0.008392	-0.026703	-0.026703	-0.057221	-0.076143
0.002400	0.013275	-0.039521	0.000153	-0.054780	-0.005341	-0.011749	-0.030671	-0.025788	-0.058747	-0.079194
0.002500	0.019074	-0.041352	-0.007477	-0.061189	-0.008087	-0.019379	-0.040436	-0.032807	-0.061799	-0.081025
0.002600	0.018463	-0.045319	-0.015412	-0.071870	-0.019684	-0.024567	-0.050202	-0.047150	-0.074617	-0.086824
0.002700	0.003510	-0.054170	-0.024872	-0.087434	-0.042878	-0.030671	-0.062715	-0.064240	-0.085298	-0.101167
0.002800	-0.010224	-0.066377	-0.035248	-0.107271	-0.066682	-0.038300	-0.086519	-0.084382	-0.094759	-0.122225
0.002900	-0.023346	-0.082551	-0.049897	-0.120089	-0.075837	-0.060273	-0.103304	-0.099336	-0.101472	-0.143587
0.003000	-0.036774	-0.103609	-0.070344	-0.121614	-0.081025	-0.083467	-0.110018	-0.106050	-0.110628	-0.155795
0.003100	-0.059663	-0.125582	-0.095064	-0.133822	-0.100557	-0.087434	-0.119173	-0.111849	-0.124666	-0.159152
0.003200	-0.091707	-0.150912	-0.126803	-0.168917	-0.133822	-0.089876	-0.144808	-0.122530	-0.150607	-0.173495
0.003300	-0.121309	-0.183871	-0.159457	-0.207981	-0.166476	-0.114900	-0.185092	-0.150301	-0.183566	-0.198825
0.003400	-0.148776	-0.209506	-0.180514	-0.238193	-0.190280	-0.148470	-0.216220	-0.185702	-0.210727	-0.227512
0.003500	-0.177462	-0.228428	-0.199435	-0.258946	-0.211948	-0.177462	-0.236057	-0.215305	-0.231174	-0.254063
0.003600	-0.197604	-0.245518	-0.220188	-0.267186	-0.227512	-0.200351	-0.250706	-0.234531	-0.244602	-0.263218
0.003700	-0.200351	-0.261387	-0.220798	-0.277256	-0.233616	-0.215305	-0.259861	-0.240940	-0.250401	-0.257115
0.003800	-0.203098	-0.265660	-0.213779	-0.282139	-0.239414	-0.229648	-0.259251	-0.241245	-0.249790	-0.252537
0.003900	-0.210422	-0.265049	-0.219577	-0.277562	-0.243076	-0.243687	-0.260777	-0.239719	-0.242771	-0.251621
0.004000	-0.219883	-0.265965	-0.225376	-0.282139	-0.237888	-0.239414	-0.256809	-0.235752	-0.236973	-0.241245
0.004100	-0.227512	-0.269932	-0.224460	-0.288548	-0.229343	-0.228122	-0.253147	-0.227207	-0.230564	-0.233616
0.004200	-0.222934	-0.269627	-0.228122	-0.285191	-0.228733	-0.225681	-0.255283	-0.233921	-0.223240	-0.225986
0.004300	-0.215915	-0.263523	-0.233616	-0.281529	-0.233616	-0.223240	-0.261387	-0.243687	-0.233921	-0.234836
0.004400	-0.211948	-0.254978	-0.225071	-0.274815	-0.231479	-0.227512	-0.264439	-0.246128	-0.236057	-0.245518
0.004500	-0.210727	-0.244602	-0.210422	-0.261387	-0.222019	-0.233921	-0.256809	-0.243381	-0.221103	-0.240330
0.004600	-0.203098	-0.232090	-0.199435	-0.247654	-0.208591	-0.231174	-0.241856	-0.229343	-0.211948	-0.231785
0.004700	-0.188144	-0.220493	-0.191195	-0.236057	-0.196078	-0.222324	-0.221714	-0.220188	-0.214389	-0.227207
0.004800	-0.173495	-0.208896	-0.172274	-0.223850	-0.181735	-0.215000	-0.199130	-0.221103	-0.215000	-0.218051
0.004900	-0.165866	-0.191501	-0.157321	-0.200046	-0.166781	-0.203098	-0.172885	-0.213169	-0.207675	-0.218051
0.005000	-0.161593	-0.174105	-0.160678	-0.178988	-0.164950	-0.185702	-0.149691	-0.190890	-0.199741	-0.214694
0.005100	-0.169528	-0.166476	-0.168917	-0.178073	-0.173190	-0.171054	-0.142672	-0.171969	-0.207370	-0.222629
0.005200	-0.175326	-0.170138	-0.182345	-0.188449	-0.184176	-0.171054	-0.156405	-0.168307	-0.234226	-0.241856
0.005300	-0.172274	-0.175936	-0.193942	-0.191806	-0.193637	-0.182345	-0.174411	-0.186007	-0.260166	-0.258640
0.005400	-0.174716	-0.180209	-0.198520	-0.201572	-0.203708	-0.193637	-0.193027	-0.199435	-0.282750	-0.272068
0.005500	-0.186313	-0.184482	-0.197909	-0.210117	-0.207370	-0.203708	-0.206455	-0.198825	-0.298924	-0.276036
0.005600	-0.204929	-0.181430	-0.211032	-0.204318	-0.211032	-0.217136	-0.202487	-0.196384	-0.305943	-0.259556
0.005700	-0.216220	-0.181735	-0.228122	-0.199130	-0.224765	-0.221103	-0.198825	-0.189975	-0.312047	-0.243687
0.005800	-0.229038	-0.193637	-0.249790	-0.209506	-0.244907	-0.220188	-0.207065	-0.183566	-0.314183	-0.230869
0.005900	-0.251316	-0.219272	-0.274205	-0.225986	-0.265354	-0.227817	-0.223850	-0.193942	-0.316625	-0.230869
0.006000	-0.276036	-0.248264	-0.289158	-0.243687	-0.288853	-0.245212	-0.249790	-0.214084	-0.316014	-0.236973
0.006100	-0.297704	-0.265049	-0.298314	-0.262913	-0.307775	-0.265660	-0.266575	-0.233310	-0.319982	-0.239109
0.006200	-0.315709	-0.273594	-0.306554	-0.275120	-0.318456	-0.283970	-0.272984	-0.250706	-0.318151	-0.238804
0.006300	-0.321508	-0.280613	-0.316014	-0.285801	-0.321508	-0.294957	-0.275425	-0.260777	-0.315099	-0.237583
0.006400	-0.318456	-0.285496	-0.327306	-0.289158	-0.325170	-0.301976	-0.270848	-0.269322	-0.310826	-0.239719
0.006500	-0.321813	-0.290074	-0.323339	-0.285496	-0.322118	-0.313573	-0.274815	-0.286107	-0.291905	-0.241245
0.006600	-0.320897	-0.291295	-0.308995	-0.274815	-0.308690	-0.323339	-0.282139	-0.291600	-0.261082	-0.231174
0.006700	-0.312657	-0.275120	-0.301061	-0.256809	-0.298009	-0.320592	-0.273899	-0.276951	-0.239109	-0.210117
0.006800	-0.312352	-0.262913	-0.290990	-0.246433	-0.288853	-0.303197	-0.259861	-0.262608	-0.217746	-0.194552
0.006900	-0.313268	-0.262913	-0.277562	-0.239719	-0.276951	-0.288548	-0.252232	-0.247959	-0.208286	-0.176852
0.007000	-0.304418	-0.256504	-0.265660	-0.212558	-0.265049	-0.277256	-0.246738	-0.229343	-0.204624	-0.160983
0.007100	-0.295567	-0.243381	-0.255283	-0.185397	-0.259251	-0.264134	-0.247959	-0.213474	-0.197909	-0.155795
0.007200	-0.281834	-0.229648	-0.237888	-0.173800	-0.243076	-0.256199	-0.247959	-0.200656	-0.180209	-0.158236
0.007300	-0.256199	-0.207370	-0.211032	-0.155184	-0.210422	-0.253147	-0.234531	-0.188754	-0.153048	-0.149386
0.007400	-0.215915	-0.173190	-0.178988	-0.121920	-0.176547	-0.230564	-0.214694	-0.177462	-0.127413	-0.137179
0.007500	-0.182650	-0.135958	-0.151522	-0.088350	-0.155795	-0.190890	-0.200351	-0.153048	-0.109102	-0.114595
0.007600	-0.168307	-0.108492	-0.133516	-0.063935	-0.134737	-0.150301	-0.196689	-0.131991	-0.089876	-0.098421
0.007700	-0.157321	-0.091707	-0.117952	-0.048981	-0.112154	-0.118257	-0.185397	-0.114595	-0.077974	-0.090486
0.007800	-0.143282	-0.076753	-0.105745	-0.039521	-0.098726	-0.090181	-0.164340	-0.100557	-0.074922	-0.080720
0.007900	-0.130465	-0.061799	-0.095979	-0.025483	-0.092317	-0.074922	-0.147250	-0.091707	-0.072175	-0.072175
0.008000	-0.110933	-0.052949	-0.085603	-0.008698	-0.080720	-0.060578	-0.132906	-0.087434	-0.074006	-0.073701
0.008100	-0.098116	-0.043183	-0.079194	-0.001373	-0.075837	-0.051728	-0.115511	-0.084993	-0.082856	-0.071565
0.008200	-0.102083	-0.040131	-0.082856	-0.005646	-0.081636	-0.048676	-0.102083	-0.094453	-0.086824	-0.075532
0.008300	-0.116121	-0.050813	-0.095064	-0.016327	-0.085908	-0.037385	-0.094453	-0.109102	-0.095369	-0.078279
0.008400	-0.129244	-0.059968	-0.110933	-0.031281	-0.091096	-0.027008	-0.083772	-0.123751	-0.104830	-0.076753
0.008500	-0.135958	-0.065461	-0.125887	-0.042878	-0.089265	-0.025177	-0.081941	-0.133211	-0.114900	-0.076143
0.008600	-0.132296	-0.078584	-0.130465	-0.050507	-0.087129	-0.049897	-0.083772	-0.149691	-0.121309	-0.079500
0.008700	-0.135653	-0.087129	-0.135653	-0.053864	-0.094453	-0.081025	-0.085603	-0.168917	-0.128939	-0.081331
0.008800	-0.148165	-0.094453	-0.148165	-0.055695	-0.110018	-0.090486	-0.084688	-0.176242	-0.133211	-0.084688
0.008900	-0.164340	-0.110933	-0.162509	-0.072175	-0.125277	-0.094148	-0.092927	-0.172579	-0.129854	-0.086824
0.009000	-0.182650	-0.129244	-0.169528	-0.091402	-0.140841	-0.104524	-0.105745	-0.171664	-0.121614	-0.089570
0.009100	-0.191806	-0.138094	-0.172579	-0.103304	-0.152438	-0.106050	-0.126497	-0.170443	-0.127108	-0.094759
0.009200	-0.195468	-0.147860	-0.171969	-0.113069	-0.155489	-0.114290	-0.141146	-0.172274	-0.131075	-0.102388
0.009300	-0.202487	-0.161288	-0.176852	-0.125887	-0.150607	-0.135958	-0.151217	-0.181125	-0.125277	-0.104524
0.009400	-0.208591	-0.173800	-0.189364	-0.136568	-0.151522	-0.145724	-0.148165	-0.178683	-0.117647	-0.096895
0.009500	-0.214084	-0.185702	-0.202792	-0.150607	-0.165866	-0.147555	-0.144198	-0.171054	-0.123445	-0.089570
0.009600	-0.223850	-0.196384	-0.213474	-0.171054	-0.178378	-0.157321	-0.153964	-0.168307	-0.126192	-0.098116
0.009700	-0.225071	-0.204624	-0.208286	-0.189975	-0.181735	-0.175326	-0.173800	-0.179599	-0.115206	-0.104524
0.009800	-0.216220	-0.199130	-0.190280	-0.196384	-0.163729	-0.203403	-0.181125	-0.191195	-0.093233	-0.101472
0.009900	-0.200046	-0.183871	-0.168002	-0.194247	-0.131991	-0.222324	-0.178988	-0.189670	-0.071565	-0.092622
0.010000	-0.179599	-0.166476	-0.139620	-0.185702	-0.104219	-0.210422	-0.167697	-0.168917	-0.043183	-0.074617
0.010100	-0.153964	-0.149691	-0.110323	-0.168612	-0.080110	-0.183871	-0.153353	-0.142977	-0.021515	-0.054475
0.010200	-0.131075	-0.131075	-0.100252	-0.162814	-0.066682	-0.170443	-0.146944	-0.114595	-0.011139	-0.045014
0.010300	-0.113069	-0.119783	-0.097505	-0.171054	-0.063325	-0.169833	-0.145724	-0.092927	0.003204	-0.055085
0.010400	-0.104219	-0.116121	-0.097810	-0.168307	-0.063325	-0.179904	-0.140536	-0.087739	0.007782	-0.072786
0.010500	-0.097200	-0.108797	-0.097200	-0.156100	-0.068513	-0.178073	-0.142062	-0.084993	0.002899	-0.084077
0.010600	-0.087129	-0.092622	-0.091096	-0.139620	-0.074617	-0.164340	-0.137789	-0.084993	-0.012055	-0.097200
0.010700	-0.076143	-0.084077	-0.086519	-0.129244	-0.072786	-0.151522	-0.133822	-0.096895	-0.034638	-0.121309
0.010800	-0.070344	-0.086519	-0.085908	-0.121309	-0.081941	-0.143893	-0.135348	-0.114595	-0.055085	-0.138094
0.010900	-0.062715	-0.086824	-0.085298	-0.121614	-0.091096	-0.137179	-0.130465	-0.128939	-0.071260	-0.148165
