#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
77	15/03/2023	17:37:53.540	0.00000000E+0	-2.30365565E+0	4.00000000E+0	7.48199129E-1	2.50900000E+3	5.06473257E-1
79	15/03/2023	17:37:56.582	0.00000000E+0	-2.19896146E+0	4.00000000E+0	1.37828174E+0	2.50600000E+3	4.05353879E-1
81	15/03/2023	17:37:59.530	0.00000000E+0	-2.09426727E+0	4.00000000E+0	9.97087512E-3	2.50400000E+3	5.25022355E-1
83	15/03/2023	17:38:02.492	0.00000000E+0	-1.98957308E+0	4.00000000E+0	6.54242806E-1	2.49200000E+3	6.37093049E-1
85	15/03/2023	17:38:05.484	0.00000000E+0	-1.88487889E+0	4.00000000E+0	1.32727688E+0	2.47600000E+3	6.18763910E-1
87	15/03/2023	17:38:08.451	0.00000000E+0	-1.78018470E+0	4.00000000E+0	1.28816037E+0	2.45700000E+3	4.71554231E-1
89	15/03/2023	17:38:11.437	0.00000000E+0	-1.67549052E+0	4.00000000E+0	3.16536936E+0	2.48600000E+3	5.41572878E-1
91	15/03/2023	17:38:14.396	0.00000000E+0	-1.57079633E+0	4.00000000E+0	3.31723345E+0	2.49700000E+3	4.64074075E-1
93	15/03/2023	17:38:17.461	0.00000000E+0	-1.46610214E+0	4.00000000E+0	4.51565594E+0	2.50200000E+3	5.32106853E-1
95	15/03/2023	17:38:20.546	0.00000000E+0	-1.36140795E+0	4.00000000E+0	2.99394700E+0	2.50300000E+3	6.35622921E-1
97	15/03/2023	17:38:23.543	0.00000000E+0	-1.25671376E+0	4.00000000E+0	2.62272365E+0	2.51100000E+3	6.41777954E-1
99	15/03/2023	17:38:26.536	0.00000000E+0	-1.15201957E+0	4.00000000E+0	6.15586490E+0	2.51000000E+3	6.36455800E-1
101	15/03/2023	17:38:29.549	0.00000000E+0	-1.04732538E+0	4.00000000E+0	5.22665604E+0	2.49000000E+3	6.35221614E-1
103	15/03/2023	17:38:32.533	0.00000000E+0	-9.42631194E-1	4.00000000E+0	2.84706834E+0	2.48100000E+3	6.09130346E-1
105	15/03/2023	17:38:35.544	0.00000000E+0	-8.37937005E-1	4.00000000E+0	5.20939876E+0	2.44300000E+3	3.18233422E-1
107	15/03/2023	17:38:38.471	0.00000000E+0	-7.32859321E-1	4.00000000E+0	5.38964150E+0	2.48600000E+3	3.37017767E-1
109	15/03/2023	17:38:41.388	0.00000000E+0	-6.28165133E-1	4.00000000E+0	5.85443768E+0	2.49900000E+3	6.36275072E-1
111	15/03/2023	17:38:44.472	0.00000000E+0	-5.23470944E-1	4.00000000E+0	5.26040362E+0	2.51400000E+3	5.70189277E-1
113	15/03/2023	17:38:47.541	0.00000000E+0	-4.18776755E-1	4.00000000E+0	1.10408267E+0	2.50100000E+3	3.16784104E-1
115	15/03/2023	17:38:50.563	0.00000000E+0	-3.14082566E-1	4.00000000E+0	3.75556846E+0	2.51500000E+3	3.12933012E-1
117	15/03/2023	17:38:53.556	0.00000000E+0	-2.09388378E-1	4.00000000E+0	1.42506815E+0	2.46300000E+3	3.96267443E-1
119	15/03/2023	17:38:56.566	0.00000000E+0	-1.04694189E-1	4.00000000E+0	9.85582656E-2	2.49300000E+3	3.38765608E-1
121	15/03/2023	17:38:59.571	0.00000000E+0	0.00000000E+0	4.00000000E+0	2.13184980E+0	2.48400000E+3	3.33173195E-1
123	15/03/2023	17:39:02.550	0.00000000E+0	1.04694189E-1	4.00000000E+0	5.72136484E+0	2.50600000E+3	3.52886765E-1
125	15/03/2023	17:39:05.528	0.00000000E+0	2.09388378E-1	4.00000000E+0	5.59596191E+0	2.51700000E+3	3.89699762E-1
127	15/03/2023	17:39:08.514	0.00000000E+0	3.14082566E-1	4.00000000E+0	5.09435020E+0	2.50300000E+3	5.39507292E-1
129	15/03/2023	17:39:11.508	0.00000000E+0	4.18776755E-1	4.00000000E+0	5.82529204E+0	2.48800000E+3	4.10019027E-1
131	15/03/2023	17:39:14.452	0.00000000E+0	5.23470944E-1	4.00000000E+0	2.29751973E+0	2.48100000E+3	3.40627467E-1
133	15/03/2023	17:39:17.445	0.00000000E+0	6.28165133E-1	4.00000000E+0	1.48144195E+0	2.49400000E+3	3.44603957E-1
135	15/03/2023	17:39:20.506	0.00000000E+0	7.32859321E-1	4.00000000E+0	4.31738893E+0	2.49900000E+3	3.05827708E-1
137	15/03/2023	17:39:23.565	0.00000000E+0	8.37937005E-1	4.00000000E+0	5.43681141E+0	2.52300000E+3	3.58252097E-1
139	15/03/2023	17:39:26.559	0.00000000E+0	9.42631194E-1	4.00000000E+0	2.24498088E+0	2.50700000E+3	4.28876945E-1
141	15/03/2023	17:39:29.493	0.00000000E+0	1.04732538E+0	4.00000000E+0	4.60999576E+0	2.48900000E+3	3.19194142E-1
