#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
2	15/03/2023	18:16:19.383	0.00000000E+0	-6.28318531E+0	5.00000000E+0	2.35082556E-1	-2.51800000E+3	3.10144066E-1
4	15/03/2023	18:16:22.322	0.00000000E+0	-6.17849112E+0	5.00000000E+0	3.55806844E+0	-2.51900000E+3	5.05436361E-1
6	15/03/2023	18:16:25.350	0.00000000E+0	-6.07379693E+0	5.00000000E+0	1.69504877E-1	-2.50300000E+3	6.71546465E-1
8	15/03/2023	18:16:28.355	0.00000000E+0	-5.96910274E+0	5.00000000E+0	4.14136463E+0	-2.48400000E+3	4.65646005E-1
10	15/03/2023	18:16:31.321	0.00000000E+0	-5.86440855E+0	5.00000000E+0	7.48582624E-1	-2.51600000E+3	4.00762653E-1
12	15/03/2023	18:16:34.324	0.00000000E+0	-5.75971436E+0	5.00000000E+0	5.18140361E+0	-2.50000000E+3	4.73885907E-1
14	15/03/2023	18:16:37.311	0.00000000E+0	-5.65502017E+0	5.00000000E+0	4.55017051E+0	-2.47100000E+3	3.88367661E-1
16	15/03/2023	18:16:40.289	0.00000000E+0	-5.55032599E+0	5.00000000E+0	1.74260218E+0	-2.48700000E+3	3.91873047E-1
18	15/03/2023	18:16:43.359	0.00000000E+0	-5.44524830E+0	5.00000000E+0	1.94968958E+0	-2.48900000E+3	4.46073238E-1
20	15/03/2023	18:16:46.315	0.00000000E+0	-5.34055411E+0	5.00000000E+0	4.50185012E+0	-2.50600000E+3	4.42489464E-1
22	15/03/2023	18:16:49.289	0.00000000E+0	-5.23585992E+0	5.00000000E+0	5.87437943E+0	-2.51200000E+3	4.16308279E-1
24	15/03/2023	18:16:52.302	0.00000000E+0	-5.13116574E+0	5.00000000E+0	2.14565563E+0	-2.48200000E+3	5.61695459E-1
26	15/03/2023	18:16:55.333	0.00000000E+0	-5.02647155E+0	5.00000000E+0	1.93089832E+0	-2.50400000E+3	4.91363408E-1
