#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
50	15/03/2023	17:07:31.299	2.96365088E+0	-2.50100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
51	15/03/2023	17:07:32.770	4.27443747E+0	2.47500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
52	15/03/2023	17:07:34.261	2.84936931E+0	-2.49700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
53	15/03/2023	17:07:35.786	2.68523337E+0	2.50400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
54	15/03/2023	17:07:37.318	5.69873863E-1	-2.51700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
55	15/03/2023	17:07:38.821	3.06796158E-3	2.51700000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
56	15/03/2023	17:07:40.299	4.86962201E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
57	15/03/2023	17:07:41.828	3.39853444E+0	2.49100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
58	15/03/2023	17:07:43.321	6.66514652E-1	-2.48500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
59	15/03/2023	17:07:44.823	4.76531132E+0	2.47900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
60	15/03/2023	17:07:46.301	2.22849059E+0	-2.49600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
61	15/03/2023	17:07:47.787	2.43979644E+0	2.50900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
62	15/03/2023	17:07:49.279	3.97454422E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
63	15/03/2023	17:07:50.808	7.86548649E-1	2.52000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
64	15/03/2023	17:07:52.301	4.43665593E+0	-2.51500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
65	15/03/2023	17:07:53.785	4.58046663E+0	2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
66	15/03/2023	17:07:55.260	4.79177249E+0	-2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
67	15/03/2023	17:07:56.732	4.09956366E-1	2.49600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
68	15/03/2023	17:07:58.181	1.72956334E+0	-2.47900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
69	15/03/2023	17:07:59.689	4.66445208E+0	2.49900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
70	15/03/2023	17:08:01.189	5.48436481E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
71	15/03/2023	17:08:02.657	2.59472850E+0	2.51400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
72	15/03/2023	17:08:04.209	4.42975302E+0	-2.51000000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
73	15/03/2023	17:08:05.726	4.30358310E+0	2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
74	15/03/2023	17:08:07.226	2.84208290E+0	-2.48500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
75	15/03/2023	17:08:08.697	2.09273329E+0	2.47800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
76	15/03/2023	17:08:10.191	5.30067061E+0	-2.49500000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
77	15/03/2023	17:08:11.676	2.19896146E+0	2.50300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
78	15/03/2023	17:08:13.230	1.42468466E+0	-2.51600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
79	15/03/2023	17:08:14.720	2.52876733E+0	2.51100000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
80	15/03/2023	17:08:16.206	5.36663179E+0	-2.51300000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
81	15/03/2023	17:08:17.679	1.80664587E+0	2.49900000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
82	15/03/2023	17:08:19.232	5.69873863E-1	-2.47800000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
83	15/03/2023	17:08:20.772	4.02669957E+0	2.49600000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
84	15/03/2023	17:08:22.224	3.47676746E+0	-2.50400000E+3	2.00000000E+0	-9.80632800E+0	7.16628800E+6
