Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1465258830,31948373.076477323,28889667.350541905,3058.706,3.80622e14,4.5105,-2.58225e6,1.32089e6,-3.31395e-9
1465258860,31941073.714652803,28872504.813790254,3068.569,3.87589e14,2.7626,-2.61589e6,1.32624e6,-3.32738e-9
1465258890,31933722.868568435,28855318.290942382,3078.405,3.96187e14,0.6056,-2.65517e6,1.33159e6,-3.34080e-9
1465258920,31926320.583602265,28838107.995652653,3088.213,4.02987e14,1.1005,-2.68865e6,1.33695e6,-3.35422e-9
1465258950,31918866.90552933,28820874.142687894,3097.993,3.85701e14,3.2363,-2.64120e6,1.34230e6,-3.36764e-9
1465258980,31911361.88052337,28803616.94793126,3107.745,3.91244e14,1.8456,-2.67047e6,1.34765e6,-3.38106e-9
1465259010,31903805.555158608,28786336.628386118,3117.469,3.84025e14,3.6565,-2.65657e6,1.35300e6,-3.39448e-9
1465259040,31896197.976411495,28769033.4021798,3127.165,3.92692e14,1.4823,-2.69661e6,1.35836e6,-3.40790e-9
1465259070,31888539.191662524,28751707.48856745,3136.832,4.13733e14,3.7965,-2.77922e6,1.36371e6,-3.42131e-9
1465259100,31880829.248697955,28734359.107935824,3146.470,3.95094e14,0.8797,-2.72610e6,1.36906e6,-3.43473e-9
1465259130,31873068.195670847,28716988.481778774,3156.080,3.94150e14,1.1165,-2.73349e6,1.37441e6,-3.44814e-9
1465259160,31865256.08122859,28699595.832788114,3165.660,3.97022e14,0.3961,-2.75407e6,1.37976e6,-3.46155e-9
1465259190,31857392.954388622,28682181.384770192,3175.212,3.98156e14,0.1116,-2.76868e6,1.38511e6,-3.47496e-9
1465259220,31849478.864580713,28664745.362677507,3184.734,3.95622e14,0.7472,-2.77053e6,1.39045e6,-3.48837e-9
1465259250,31841513.86164838,28647287.992612205,3194.226,3.76130e14,5.6373,-2.71292e6,1.39580e6,-3.50178e-9
1465259280,31833497.995850362,28629809.501829445,3203.688,3.82555e14,4.0255,-2.74589e6,1.40115e6,-3.51518e-9
1465259310,31825431.3178621,28612310.11874088,3213.121,4.09350e14,2.6968,-2.85091e6,1.40649e6,-3.52858e-9
1465259340,31817313.87877718,28594790.072917942,3222.524,3.93436e14,1.2956,-2.80538e6,1.41183e6,-3.54198e-9
1465259370,31809145.730108794,28577249.59509526,3231.896,3.76293e14,5.5963,-2.75504e6,1.41718e6,-3.55537e-9
1465259400,31800926.92379126,28559688.917173915,3241.238,4.00791e14,0.5496,-2.85285e6,1.42252e6,-3.56876e-9
1465259430,31792657.5122095,28542108.272246957,3250.549,3.95759e14,0.7127,-2.84553e6,1.42786e6,-3.58215e-9
1465259460,31784337.5481143,28524507.894534476,3259.830,3.82029e14,4.1575,-2.80679e6,1.43320e6,-3.59554e-9
1465259490,31775967.08471033,28506888.0194551,3269.079,4.07868e14,2.3251,-2.91050e6,1.43853e6,-3.60892e-9
1465259520,31767546.175629906,28489248.88360736,3278.297,3.99359e14,0.1903,-2.89046e6,1.44387e6,-3.62229e-9
1465259550,31759074.87493491,28471590.724773128,3287.484,4.02543e14,0.9892,-2.91272e6,1.44920e6,-3.63567e-9
1465259580,31750553.237118483,28453913.781920888,3296.639,4.12297e14,3.4363,-2.95902e6,1.45454e6,-3.64904e-9
1465259610,31741981.317107074,28436218.295209263,3305.763,4.01260e14,0.6672,-2.92944e6,1.45987e6,-3.66240e-9
1465259640,31733359.170262128,28418504.50599024,3314.855,4.01595e14,0.7513,-2.94136e6,1.46519e6,-3.67576e-9
1465259670,31724686.852382164,28400772.656812523,3323.914,3.97173e14,0.3580,-2.93574e6,1.47052e6,-3.68912e-9
1465259700,31715964.4197046,28383022.9914248,3332.941,4.10345e14,2.9466,-2.99514e6,1.47585e6,-3.70247e-9
1465259730,31707191.92889557,28365255.75476304,3341.936,4.06214e14,1.9101,-2.99059e6,1.48117e6,-3.71581e-9
1465259760,31698369.437089328,28347471.19300297,3350.898,3.93179e14,1.3600,-2.95272e6,1.48649e6,-3.72915e-9
1465259790,31689497.001852702,28329669.55351397,3359.827,4.00445e14,0.4629,-2.99047e6,1.49181e6,-3.74249e-9
1465259820,31680574.681199137,28311851.084877923,3368.724,4.02926e14,1.0852,-3.01044e6,1.49713e6,-3.75581e-9
1465259850,31671602.53359055,28294016.0368924,3377.586,4.02440e14,0.9633,-3.01929e6,1.50244e6,-3.76914e-9
1465259880,31662580.617939204,28276164.660573475,3386.416,3.95119e14,0.8735,-3.00227e6,1.50775e6,-3.78245e-9
1465259910,31653508.99360971,28258297.208158795,3395.212,3.90859e14,1.9421,-2.99667e6,1.51306e6,-3.79576e-9
1465259940,31644387.72042081,28240413.933110356,3403.974,3.88022e14,2.6539,-2.99637e6,1.51837e6,-3.80907e-9
1465259970,31635216.858647373,28222515.090117496,3412.702,3.80004e14,4.6654,-2.97618e6,1.52367e6,-3.82236e-9
1465260000,31625996.469022278,28204600.9350996,3421.396,4.00011e14,0.3539,-3.06327e6,1.52897e6,-3.83565e-9
1465260030,31616726.612739604,28186671.725218214,3430.055,4.00962e14,0.5925,-3.07755e6,1.53427e6,-3.84893e-9
1465260060,31607407.35145283,28168727.718851253,3438.680,3.85226e14,3.3554,-3.02739e6,1.53956e6,-3.86221e-9
1465260090,31598038.747280464,28150769.175624423,3447.270,4.00239e14,0.4112,-3.09597e6,1.54486e6,-3.87547e-9
1465260120,31588620.862806812,28132796.35640467,3455.825,4.11746e14,3.2978,-3.15131e6,1.55015e6,-3.88873e-9
1465260150,31579153.761083968,28114809.523302943,3464.344,4.05561e14,1.7463,-3.13792e6,1.55543e6,-3.90198e-9
1465260180,31569637.505633816,28096808.939676832,3472.829,4.11918e14,3.3410,-3.17346e6,1.56071e6,-3.91523e-9
1465260210,31560072.160450112,28078794.870133273,3481.277,4.00299e14,0.4261,-3.13855e6,1.56599e6,-3.92846e-9
1465260240,31550457.790000398,28060767.580531124,3489.690,3.82362e14,4.0738,-3.07842e6,1.57127e6,-3.94168e-9
1465260270,31540794.45922811,28042727.33798375,3498.067,3.78821e14,4.9623,-3.07473e6,1.57654e6,-3.95490e-9
1465260300,31531082.233554635,28024674.410861548,3506.408,3.93430e14,1.2972,-3.14298e6,1.58181e6,-3.96810e-9
1465260330,31521321.178882565,28006609.068793833,3514.712,4.21855e14,5.8341,-3.26660e6,1.58707e6,-3.98130e-9
1465260360,31511511.361594066,27988531.5826732,3522.980,4.20239e14,5.4287,-3.27097e6,1.59233e6,-3.99449e-9
1465260390,31501652.84855681,27970442.2246559,3531.211,4.07309e14,2.1849,-3.22994e6,1.59759e6,-4.00766e-9
1465260420,31491745.70712486,27952341.26816475,3539.404,4.01140e14,0.6371,-3.21575e6,1.60284e6,-4.02083e-9
1465260450,31481790.005140796,27934228.987891555,3547.561,3.92723e14,1.4744,-3.19232e6,1.60808e6,-4.03398e-9
1465260480,31471785.810937885,27916105.6597992,3555.680,3.97049e14,0.3892,-3.22023e6,1.61333e6,-4.04712e-9
1465260510,31461733.193342302,27897971.561123975,3563.762,4.00019e14,0.3558,-3.24274e6,1.61857e6,-4.06026e-9
1465260540,31451632.221675266,27879826.97037756,3571.805,3.88484e14,2.5379,-3.20624e6,1.62380e6,-4.07338e-9
1465260570,31441482.9657553,27861672.167349204,3579.811,3.98991e14,0.0981,-3.25950e6,1.62903e6,-4.08648e-9
1465260600,31431285.495900415,27843507.433107615,3587.778,4.13835e14,3.8219,-3.33080e6,1.63425e6,-4.09958e-9
