Metric,Value
Year,2016
Total_Data_Points,150948
Global_Median_GM,3.9855589731e14
Global_Mean_GM,3.9846690162e14
Std_Deviation_GM,7.7032686833e12
Reference_GM,3.9860044180e14
Error_GM_Pct,0.011175
Recovered_G,6.6735295697e-11
Reference_G,6.6743000000e-11
Assumed_M_kg,5.9721904750e24
Error_G_Pct,0.011543
Recovered_M_kg,5.9715010909e24
Reference_M_kg,5.9721904750e24
Assumed_G,6.6743000000e-11
Error_M_Pct,0.011543
