Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1538007630,31042347.99908447,27016645.980337672,4025.702,3.99409e14,0.2028,-3.83119e6,1.91396e6,-4.80016e-9
1538007660,31029686.726932444,26997682.398554053,4032.004,4.01566e14,0.7440,-3.85183e6,1.91909e6,-4.81301e-9
1538007690,31016979.621741466,26978722.730900668,4038.257,4.01753e14,0.7909,-3.86300e6,1.92420e6,-4.82584e-9
1538007720,31004226.779938858,26959767.331954688,4044.459,4.00821e14,0.5571,-3.86873e6,1.92930e6,-4.83864e-9
1538007750,30991428.29858363,26940816.557698593,4050.612,3.99786e14,0.2975,-3.87392e6,1.93439e6,-4.85141e-9
1538007780,30978584.275369585,26921870.765518732,4056.714,3.98378e14,0.0558,-3.87725e6,1.93947e6,-4.86416e-9
1538007810,30965694.8086286,26902930.314203966,4062.764,3.97988e14,0.1538,-3.88547e6,1.94454e6,-4.87687e-9
1538007840,30952759.997333784,26883995.563943855,4068.764,4.01830e14,0.8102,-3.91437e6,1.94960e6,-4.88956e-9
1538007870,30939779.94110265,26865066.87632701,4074.713,4.01152e14,0.6400,-3.92117e6,1.95464e6,-4.90221e-9
1538007900,30926754.740200423,26846144.61433918,4080.610,3.95735e14,0.7190,-3.90464e6,1.95967e6,-4.91483e-9
1538007930,30913684.495526474,26827229.142352786,4086.455,3.96845e14,0.4405,-3.92011e6,1.96469e6,-4.92743e-9
1538007960,30900569.308669273,26808320.82615085,4092.248,4.00711e14,0.5296,-3.94921e6,1.96970e6,-4.93999e-9
1538007990,30887409.281857807,26789420.03289837,4097.989,4.00503e14,0.4772,-3.95819e6,1.97469e6,-4.95252e-9
1538008020,30874204.517981485,26770527.131148364,4103.677,3.97197e14,0.3522,-3.95176e6,1.97967e6,-4.96501e-9
1538008050,30860955.120593313,26751642.49083926,4109.313,3.98415e14,0.0465,-3.96774e6,1.98464e6,-4.97748e-9
1538008080,30847661.193913028,26732766.48329216,4114.895,4.03413e14,1.2074,-4.00259e6,1.98959e6,-4.98991e-9
1538008110,30834322.84283026,26713899.4812079,4120.423,4.02379e14,0.9480,-4.00736e6,1.99453e6,-5.00230e-9
1538008140,30820940.172907703,26695041.85866403,4125.898,3.98573e14,0.0070,-3.99817e6,1.99946e6,-5.01467e-9
1538008170,30807513.29038436,26676193.991111636,4131.319,4.00601e14,0.5019,-4.01819e6,2.00437e6,-5.02699e-9
1538008200,30794042.30217866,26657356.255372006,4136.686,4.02977e14,1.0979,-4.03998e6,2.00927e6,-5.03928e-9
1538008230,30780527.315902244,26638529.02963713,4141.998,3.98088e14,0.1286,-4.02511e6,2.01415e6,-5.05154e-9
1538008260,30766968.43983087,26619712.693453938,4147.256,3.98967e14,0.0919,-4.03929e6,2.01902e6,-5.06376e-9
1538008290,30753365.782940067,26600907.627732895,4152.458,4.03660e14,1.2694,-4.07283e6,2.02388e6,-5.07594e-9
1538008320,30739719.454897985,26582114.214740157,4157.605,3.98546e14,0.0137,-4.05655e6,2.02872e6,-5.08808e-9
1538008350,30726029.566068828,26563332.83809354,4162.697,3.97147e14,0.3646,-4.05906e6,2.03354e6,-5.10018e-9
1538008380,30712296.22751622,26544563.882758398,4167.732,3.99834e14,0.3095,-4.08240e6,2.03835e6,-5.11225e-9
1538008410,30698519.551006652,26525807.73504339,4172.712,3.99769e14,0.2933,-4.09167e6,2.04314e6,-5.12427e-9
1538008440,30684699.649012953,26507064.782595947,4177.635,3.98675e14,0.0188,-4.09562e6,2.04792e6,-5.13626e-9
1538008470,30670836.634717725,26488335.414397784,4182.501,3.97208e14,0.3493,-4.09759e6,2.05268e6,-5.14820e-9
1538008500,30656930.62201684,26469620.020760085,4187.311,3.96825e14,0.4454,-4.10508e6,2.05742e6,-5.16011e-9
1538008530,30642981.725519214,26450918.99331899,4192.063,3.96617e14,0.4976,-4.11344e6,2.06215e6,-5.17197e-9
1538008560,30628990.060561787,26432232.72502957,4196.757,4.00245e14,0.4125,-4.14164e6,2.06686e6,-5.18379e-9
1538008590,30614955.743201617,26413561.610161472,4201.394,4.01365e14,0.6936,-4.15687e6,2.07155e6,-5.19557e-9
1538008620,30600878.890223157,26394906.04429335,4205.973,3.97998e14,0.1510,-4.14872e6,2.07622e6,-5.20730e-9
1538008650,30586759.619141676,26376266.42430729,4210.493,4.00884e14,0.5728,-4.17309e6,2.08088e6,-5.21899e-9
1538008680,30572598.048206866,26357643.148383107,4214.955,4.01030e14,0.6095,-4.18316e6,2.08552e6,-5.23063e-9
1538008710,30558394.296406426,26339036.6159925,4219.358,4.00567e14,0.4934,-4.19001e6,2.09014e6,-5.24223e-9
1538008740,30544148.483469617,26320447.227893047,4223.701,4.02208e14,0.9050,-4.20786e6,2.09475e6,-5.25378e-9
1538008770,30529860.729870815,26301875.38612199,4227.985,3.99426e14,0.2070,-4.20242e6,2.09933e6,-5.26529e-9
1538008800,30515531.156833116,26283321.49398983,4232.210,4.00760e14,0.5419,-4.21861e6,2.10390e6,-5.27674e-9
1538008830,30501159.886334557,26264785.95607461,4236.374,4.01362e14,0.6927,-4.23090e6,2.10844e6,-5.28815e-9
1538008860,30486747.04110387,26246269.178212907,4240.478,4.00177e14,0.3954,-4.23371e6,2.11297e6,-5.29952e-9
1538008890,30472292.74463185,26227771.567495164,4244.521,3.99477e14,0.2198,-4.23903e6,2.11748e6,-5.31083e-9
1538008920,30457797.121172566,26209293.532257956,4248.504,3.97605e14,0.2496,-4.23806e6,2.12196e6,-5.32209e-9
1538008950,30443260.29574702,26190835.482076716,4252.425,4.01700e14,0.7775,-4.26881e6,2.12643e6,-5.33330e-9
1538008980,30428682.39414682,26172397.82775831,4256.285,4.02452e14,0.9664,-4.28177e6,2.13088e6,-5.34446e-9
1538009010,30414063.54293789,26153980.98133344,4260.083,3.99228e14,0.1574,-4.27339e6,2.13530e6,-5.35557e-9
1538009040,30399403.869464193,26135585.356048882,4263.819,4.00172e14,0.3944,-4.28728e6,2.13971e6,-5.36663e-9
1538009070,30384703.5018514,26117211.36635945,4267.492,3.97988e14,0.1537,-4.28432e6,2.14409e6,-5.37763e-9
1538009100,30369962.569010675,26098859.427919857,4271.103,3.96293e14,0.5788,-4.28391e6,2.14845e6,-5.38858e-9
1538009130,30355181.20063325,26080529.957575746,4274.651,3.98099e14,0.1259,-4.30232e6,2.15279e6,-5.39947e-9
1538009160,30340359.527222265,26062223.373356994,4278.136,3.99423e14,0.2063,-4.31811e6,2.15711e6,-5.41031e-9
1538009190,30325497.680068463,26043940.0944671,4281.558,3.94536e14,1.0198,-4.30022e6,2.16141e6,-5.42110e-9
1538009220,30310595.79126299,26025680.54127479,4284.915,3.97144e14,0.3654,-4.32290e6,2.16568e6,-5.43182e-9
1538009250,30295653.993701063,26007445.135304935,4288.209,4.03868e14,1.3215,-4.36798e6,2.16993e6,-5.44249e-9
1538009280,30280672.421085745,25989234.299229134,4291.438,4.01550e14,0.7401,-4.36385e6,2.17416e6,-5.45310e-9
1538009310,30265651.207931664,25971048.45685617,4294.603,3.98005e14,0.1493,-4.35293e6,2.17836e6,-5.46366e-9
1538009340,30250590.489568833,25952888.033122275,4297.702,3.96955e14,0.4127,-4.35554e6,2.18254e6,-5.47415e-9
1538009370,30235490.40214638,25934753.45408109,4300.737,4.02079e14,0.8728,-4.39194e6,2.18670e6,-5.48458e-9
1538009400,30220351.08263642,25916645.146893557,4303.706,3.99873e14,0.3193,-4.38812e6,2.19083e6,-5.49496e-9
1538009430,30205172.668855153,25898563.53980895,4306.609,3.95676e14,0.7338,-4.37324e6,2.19494e6,-5.50527e-9
1538009460,30189955.299413413,25880509.062180605,4309.446,3.95374e14,0.8094,-4.37971e6,2.19902e6,-5.51552e-9
1538009490,30174699.11377389,25862482.144428812,4312.217,3.96259e14,0.5875,-4.39268e6,2.20308e6,-5.52570e-9
1538009520,30159404.25223799,25844483.218038213,4314.921,3.95170e14,0.8607,-4.39470e6,2.20711e6,-5.53582e-9
1538009550,30144070.855949797,25826512.71554655,4317.558,3.97180e14,0.3563,-4.41383e6,2.21111e6,-5.54588e-9
1538009580,30128699.06690016,25808571.070533164,4320.128,3.96981e14,0.4063,-4.42067e6,2.21509e6,-5.55587e-9
1538009610,30113289.027930778,25790658.71760732,4322.630,3.94675e14,0.9848,-4.41573e6,2.21905e6,-5.56580e-9
1538009640,30097840.882738303,25772776.092396293,4325.065,3.97608e14,0.2490,-4.43990e6,2.22297e6,-5.57566e-9
1538009670,30082354.77587838,25754923.631533276,4327.431,3.96401e14,0.5519,-4.44095e6,2.22687e6,-5.58545e-9
1538009700,30066830.8527698,25737101.77264507,4329.729,3.96817e14,0.4474,-4.45100e6,2.23074e6,-5.59517e-9
1538009730,30051269.259680737,25719310.954364214,4331.958,3.97603e14,0.2502,-4.46309e6,2.23459e6,-5.60483e-9
1538009760,30035670.14378792,25701551.616240375,4334.119,3.96981e14,0.4063,-4.46722e6,2.23841e6,-5.61441e-9
1538009790,30020033.653125588,25683824.19880342,4336.209,3.91779e14,1.7112,-4.44553e6,2.24219e6,-5.62392e-9
1538009820,30004359.936607245,25666129.143525835,4338.231,3.92315e14,1.5769,-4.45601e6,2.24595e6,-5.63337e-9
1538009850,29988649.144029737,25648466.89280959,4340.182,3.98490e14,0.0278,-4.49826e6,2.24968e6,-5.64273e-9
1538009880,29972901.42607716,25630837.889972758,4342.064,3.98135e14,0.1167,-4.50366e6,2.25339e6,-5.65203e-9
1538009910,29957116.934324913,25613242.57923589,4343.874,3.97030e14,0.3939,-4.50475e6,2.25706e6,-5.66125e-9
1538009940,29941295.821243625,25595681.40570812,4345.614,3.97458e14,0.2865,-4.51445e6,2.26070e6,-5.67040e-9
1538009970,29925438.240203183,25578154.815373152,4347.283,3.97877e14,0.1814,-4.52405e6,2.26431e6,-5.67948e-9
1538010000,29909544.345476754,25560663.255074825,4348.881,3.98790e14,0.0475,-4.53640e6,2.26790e6,-5.68847e-9
1538010030,29893614.292252943,25543207.172466032,4350.407,3.95919e14,0.6726,-4.52715e6,2.27145e6,-5.69739e-9
1538010060,29877648.236614604,25525787.016106565,4351.861,3.96486e14,0.5305,-4.53741e6,2.27497e6,-5.70623e-9
1538010090,29861646.33556822,25508403.23533525,4353.243,3.99693e14,0.2740,-4.56270e6,2.27846e6,-5.71500e-9
1538010120,29845608.7470398,25491056.280290738,4354.552,3.98739e14,0.0348,-4.56417e6,2.28191e6,-5.72368e-9
1538010150,29829535.629879005,25473746.601895723,4355.789,3.99270e14,0.1679,-4.57407e6,2.28534e6,-5.73228e-9
1538010180,29813427.143863328,25456474.651840825,4356.952,3.99225e14,0.1568,-4.58061e6,2.28873e6,-5.74080e-9
1538010210,29797283.449702203,25439240.882568263,4358.043,4.00400e14,0.4515,-4.59409e6,2.29209e6,-5.74924e-9
1538010240,29781104.709041294,25422045.74725526,4359.059,3.97986e14,0.1540,-4.58686e6,2.29542e6,-5.75760e-9
1538010270,29764891.08446653,25404889.69979721,4360.001,3.97027e14,0.3946,-4.58792e6,2.29871e6,-5.76587e-9
1538010300,29748642.739508454,25387773.194790702,4360.870,3.99435e14,0.2094,-4.60833e6,2.30197e6,-5.77406e-9
1538010330,29732359.838651307,25370696.68755585,4361.663,3.98844e14,0.0610,-4.61137e6,2.30519e6,-5.78216e-9
1538010360,29716042.547322202,25353660.63399668,4362.382,4.00495e14,0.4753,-4.62732e6,2.30838e6,-5.79018e-9
1538010390,29699691.03191044,25336665.490705654,4363.026,3.97236e14,0.3424,-4.61475e6,2.31154e6,-5.79811e-9
1538010420,29683305.45976692,25319711.714906525,4363.594,3.94354e14,1.0654,-4.60426e6,2.31466e6,-5.80595e-9
1538010450,29666885.99920846,25302799.764436454,4364.086,3.96313e14,0.5738,-4.62179e6,2.31775e6,-5.81370e-9
1538010480,29650432.81952214,25285930.097727917,4364.503,3.97336e14,0.3172,-4.63383e6,2.32080e6,-5.82136e-9
1538010510,29633946.090969604,25269103.173790347,4364.843,3.98642e14,0.0103,-4.64746e6,2.32381e6,-5.82894e-9
1538010540,29617425.984791383,25252319.4521916,4365.107,3.99415e14,0.2043,-4.65794e6,2.32678e6,-5.83642e-9
1538010570,29600872.67321124,25235579.39303913,4365.293,4.00176e14,0.3953,-4.66827e6,2.32972e6,-5.84380e-9
1538010600,29584286.329440456,25218883.45696097,4365.403,4.00731e14,0.5344,-4.67734e6,2.33263e6,-5.85110e-9
1538010630,29567667.12767014,25202232.10505079,4365.435,3.95766e14,0.7110,-4.65401e6,2.33549e6,-5.85830e-9
1538010660,29551015.24311266,25185625.79895794,4365.389,3.96133e14,0.6189,-4.66180e6,2.33832e6,-5.86540e-9
1538010690,29534330.85196885,25169065.00075794,4365.266,3.97397e14,0.3018,-4.67479e6,2.34111e6,-5.87241e-9
1538010720,29517614.131444175,25152550.172967598,4365.064,4.01703e14,0.7784,-4.70560e6,2.34386e6,-5.87932e-9
1538010750,29500865.25975301,25136081.77852442,4364.783,4.02352e14,0.9412,-4.71487e6,2.34657e6,-5.88614e-9
1538010780,29484084.416122776,25119660.280765742,4364.424,3.96963e14,0.4109,-4.68848e6,2.34924e6,-5.89285e-9
1538010810,29467271.780798316,25103286.143407673,4363.986,3.96425e14,0.5458,-4.69056e6,2.35187e6,-5.89947e-9
1538010840,29450427.535045944,25086959.830523726,4363.468,3.96964e14,0.4106,-4.69892e6,2.35446e6,-5.90598e-9
1538010870,29433551.86115781,25070681.8065232,4362.870,3.97813e14,0.1975,-4.70904e6,2.35701e6,-5.91240e-9
1538010900,29416644.942455992,25054452.536129367,4362.192,3.98496e14,0.0262,-4.71810e6,2.35952e6,-5.91871e-9
1538010930,29399706.96330715,25038272.484384943,4361.434,4.00437e14,0.4607,-4.73454e6,2.36199e6,-5.92491e-9
1538010960,29382738.109095033,25022142.11654478,4360.596,3.98458e14,0.0356,-4.72768e6,2.36441e6,-5.93102e-9
1538010990,29365738.56625641,25006061.89813859,4359.677,3.95699e14,0.7278,-4.71607e6,2.36680e6,-5.93701e-9
1538011020,29348708.522275176,24990032.294920772,4358.676,3.94164e14,1.1131,-4.71162e6,2.36914e6,-5.94291e-9
1538011050,29331648.165686645,24974053.77284758,4357.594,3.98891e14,0.0729,-4.74432e6,2.37144e6,-5.94869e-9
1538011080,29314557.68608196,24958126.798054036,4356.431,3.99800e14,0.3010,-4.75425e6,2.37370e6,-5.95437e-9
1538011110,29297437.27411243,24942251.83683075,4355.185,4.01364e14,0.6933,-4.76801e6,2.37591e6,-5.95993e-9
1538011140,29280287.121493865,24926429.355600294,4353.858,4.01885e14,0.8240,-4.77548e6,2.37808e6,-5.96539e-9
1538011170,29263107.421010964,24910659.820893507,4352.448,3.99189e14,0.1477,-4.76366e6,2.38020e6,-5.97074e-9
1538011200,29245898.366521697,24894943.69932545,4350.955,3.98704e14,0.0260,-4.76493e6,2.38228e6,-5.97597e-9
1538011230,29228660.15295855,24879281.457555372,4349.379,3.98966e14,0.0917,-4.77057e6,2.38432e6,-5.98109e-9
1538011260,29211392.97634242,24863673.562311213,4347.719,3.98937e14,0.0845,-4.77438e6,2.38631e6,-5.98610e-9
1538011290,29194097.033777513,24848120.480315447,4345.977,3.98209e14,0.0983,-4.77392e6,2.38825e6,-5.99099e-9
1538011320,29176772.523458775,24832622.678276062,4344.150,3.98745e14,0.0363,-4.78093e6,2.39015e6,-5.99577e-9
1538011350,29159419.644676145,24817180.62286129,4342.239,4.00424e14,0.4575,-4.79472e6,2.39200e6,-6.00043e-9
1538011380,29142038.59781895,24801794.78067396,4340.244,3.99297e14,0.1748,-4.79157e6,2.39380e6,-6.00497e-9
1538011410,29124629.584380224,24786465.618225787,4338.164,4.02506e14,0.9799,-4.81438e6,2.39556e6,-6.00940e-9
1538011440,29107192.806961,24771193.601911277,4335.999,4.03128e14,1.1359,-4.82156e6,2.39727e6,-6.01370e-9
1538011470,29089728.46927463,24755979.19798152,4333.749,3.97559e14,0.2614,-4.79139e6,2.39893e6,-6.01789e-9
1538011500,29072236.77615107,24740822.872517668,4331.414,3.98280e14,0.0804,-4.79896e6,2.40054e6,-6.02195e-9
1538011530,29054717.933536,24725725.09141117,4328.993,3.97303e14,0.3256,-4.79621e6,2.40211e6,-6.02589e-9
1538011560,29037172.148511153,24710686.32031517,4326.486,4.00475e14,0.4703,-4.81837e6,2.40362e6,-6.02971e-9
1538011590,29019599.629282415,24695707.024639454,4323.893,4.01782e14,0.7981,-4.82919e6,2.40508e6,-6.03340e-9
1538011620,29002000.585189305,24680787.669515833,4321.213,3.96953e14,0.4133,-4.80289e6,2.40650e6,-6.03697e-9
1538011650,28984375.226709187,24665928.719770584,4318.447,3.97207e14,0.3497,-4.80715e6,2.40786e6,-6.04041e-9
1538011680,28966723.765461512,24651130.63989667,4315.593,4.00823e14,0.5576,-4.83164e6,2.40918e6,-6.04372e-9
1538011710,28949046.41421199,24636393.894025724,4312.653,4.00071e14,0.3689,-4.82963e6,2.41044e6,-6.04690e-9
1538011740,28931343.386876892,24621718.945899837,4309.624,3.98777e14,0.0443,-4.82423e6,2.41165e6,-6.04996e-9
1538011770,28913614.898527127,24607106.258843046,4306.509,4.00529e14,0.4838,-4.83716e6,2.41281e6,-6.05288e-9
1538011800,28895861.16539253,24592556.29573269,4303.305,3.98071e14,0.1328,-4.82450e6,2.41391e6,-6.05568e-9
1538011830,28878082.404879108,24578069.518963512,4300.013,3.95774e14,0.7090,-4.81270e6,2.41497e6,-6.05834e-9
1538011860,28860278.835533,24563646.390440404,4296.632,3.99379e14,0.1952,-4.83655e6,2.41597e6,-6.06087e-9
1538011890,28842450.677085023,24549287.371526916,4293.163,4.01918e14,0.8322,-4.85384e6,2.41691e6,-6.06326e-9
1538011920,28824598.15044192,24534992.92302291,4289.605,4.00131e14,0.3839,-4.84481e6,2.41780e6,-6.06552e-9
1538011950,28806721.477690592,24520763.50513481,4285.958,3.99937e14,0.3354,-4.84532e6,2.41864e6,-6.06764e-9
1538011980,28788820.882102367,24506599.577445686,4282.221,3.99858e14,0.3154,-4.84641e6,2.41943e6,-6.06963e-9
1538012010,28770896.5881373,24492501.59888508,4278.395,3.97454e14,0.2876,-4.83329e6,2.42015e6,-6.07148e-9
1538012040,28752948.821448337,24478470.027698755,4274.479,3.96865e14,0.4354,-4.83106e6,2.42083e6,-6.07318e-9
1538012070,28734977.808885563,24464505.321418066,4270.472,3.97524e14,0.2702,-4.83630e6,2.42144e6,-6.07475e-9
1538012100,28716983.77850038,24450607.936829444,4266.376,3.97780e14,0.2058,-4.83899e6,2.42201e6,-6.07618e-9
1538012130,28698966.959532086,24436778.329958998,4262.189,3.98352e14,0.0624,-4.84348e6,2.42251e6,-6.07746e-9
