Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1537921230,27306266.64538372,23626307.805929497,3679.959,3.96840e14,0.4416,-4.53656e6,2.27296e6,-5.70407e-9
1537921260,27287287.041077126,23618829.554265928,3668.457,3.99977e14,0.3454,-4.54481e6,2.26814e6,-5.69200e-9
1537921290,27268306.116403926,23611449.152046364,3656.857,3.96640e14,0.4918,-4.51605e6,2.26324e6,-5.67972e-9
1537921320,27249324.20435902,23604166.892369434,3645.157,3.96447e14,0.5403,-4.50502e6,2.25826e6,-5.66724e-9
1537921350,27230341.639351264,23596983.06492099,3633.359,4.01853e14,0.8160,-4.52549e6,2.25319e6,-5.65456e-9
1537921380,27211358.75720347,23589897.95594393,3621.461,4.01623e14,0.7582,-4.51387e6,2.24804e6,-5.64167e-9
1537921410,27192375.895152614,23582911.84820836,3609.464,3.98102e14,0.1250,-4.48356e6,2.24282e6,-5.62857e-9
1537921440,27173393.391849678,23576025.02098192,3597.368,3.95304e14,0.8270,-4.45724e6,2.23750e6,-5.61527e-9
1537921470,27154411.587359503,23569237.750000514,3585.174,3.99375e14,0.1944,-4.46931e6,2.23211e6,-5.60176e-9
1537921500,27135430.82316061,23562550.30743925,3572.881,3.99979e14,0.3458,-4.46173e6,2.22663e6,-5.58804e-9
1537921530,27116451.44214576,23555962.961888876,3560.488,3.90522e14,2.0268,-4.39789e6,2.22108e6,-5.57411e-9
1537921560,27097473.788618572,23549475.97831139,3547.998,3.90298e14,2.0829,-4.38548e6,2.21543e6,-5.55998e-9
1537921590,27078498.208295904,23543089.618027817,3535.409,3.96201e14,0.6020,-4.40690e6,2.20971e6,-5.54564e-9
1537921620,27059525.048306223,23536804.138685286,3522.721,4.01989e14,0.8500,-4.42734e6,2.20390e6,-5.53109e-9
1537921650,27040554.657188945,23530619.794229534,3509.935,4.01277e14,0.6714,-4.41158e6,2.19801e6,-5.51633e-9
1537921680,27021587.384893455,23524536.83487773,3497.051,3.99496e14,0.2247,-4.38981e6,2.19203e6,-5.50136e-9
1537921710,27002623.582778286,23518555.50709167,3484.068,4.03145e14,1.1402,-4.39770e6,2.18598e6,-5.48618e-9
1537921740,26983663.603609946,23512676.053551223,3470.988,3.98600e14,0.0001,-4.36049e6,2.17983e6,-5.47079e-9
1537921770,26964707.801561747,23506898.71312814,3457.809,3.98036e14,0.1417,-4.34497e6,2.17361e6,-5.45519e-9
1537921800,26945756.532212555,23501223.72086021,3444.533,3.97044e14,0.3905,-4.32697e6,2.16730e6,-5.43938e-9
1537921830,26926810.152542114,23495651.30790895,3431.159,3.92743e14,1.4695,-4.29089e6,2.16091e6,-5.42336e-9
1537921860,26907869.020939313,23490181.701586235,3417.687,3.97857e14,0.1865,-4.30569e6,2.15443e6,-5.40713e-9
1537921890,26888933.497190885,23484815.12527757,3404.118,4.00490e14,0.4741,-4.30678e6,2.14787e6,-5.39068e-9
