0.000000	-0.097810	-0.154269	-0.125277	-0.155184	-0.194247	-0.069429	-0.026093	-0.189364	-0.114900	-0.023651
0.000100	-0.102388	-0.164034	-0.138399	-0.178073	-0.225376	-0.098726	-0.047761	-0.214694	-0.148776	-0.032502
0.000200	-0.114900	-0.167391	-0.149996	-0.196994	-0.243687	-0.126803	-0.080415	-0.248264	-0.181735	-0.049592
0.000300	-0.114290	-0.173190	-0.160678	-0.207370	-0.243992	-0.149386	-0.102998	-0.274205	-0.208896	-0.078584
0.000400	-0.122225	-0.174105	-0.165560	-0.207370	-0.247044	-0.166171	-0.128023	-0.298314	-0.235142	-0.105745
0.000500	-0.142367	-0.170748	-0.165866	-0.220493	-0.259861	-0.182040	-0.156100	-0.312657	-0.264439	-0.136568
0.000600	-0.140841	-0.172579	-0.173800	-0.229648	-0.271458	-0.183871	-0.173190	-0.311437	-0.279393	-0.170443
0.000700	-0.134127	-0.177462	-0.180209	-0.233005	-0.271153	-0.183566	-0.183261	-0.305638	-0.282139	-0.188449
0.000800	-0.143282	-0.171664	-0.176547	-0.231479	-0.257115	-0.188449	-0.181735	-0.307469	-0.276646	-0.193332
0.000900	-0.150607	-0.164645	-0.165866	-0.213779	-0.247654	-0.193027	-0.181735	-0.300145	-0.268406	-0.194858
0.001000	-0.146334	-0.152743	-0.156710	-0.205844	-0.251926	-0.190585	-0.184176	-0.288853	-0.270848	-0.192111
0.001100	-0.143587	-0.155795	-0.149996	-0.203403	-0.236057	-0.186923	-0.186313	-0.277256	-0.281224	-0.201266
0.001200	-0.141146	-0.160067	-0.147555	-0.186007	-0.208591	-0.174105	-0.175936	-0.259556	-0.274510	-0.209201
0.001300	-0.144198	-0.165560	-0.139620	-0.161593	-0.180514	-0.159152	-0.167391	-0.240635	-0.262303	-0.203098
0.001400	-0.147555	-0.178683	-0.123140	-0.137484	-0.164034	-0.145419	-0.157015	-0.213474	-0.245212	-0.193332
0.001500	-0.155184	-0.171054	-0.110933	-0.126192	-0.149081	-0.123445	-0.136263	-0.187533	-0.220188	-0.178988
0.001600	-0.169528	-0.171054	-0.116732	-0.120699	-0.135653	-0.101167	-0.111849	-0.153964	-0.185702	-0.167391
0.001700	-0.171054	-0.181125	-0.118563	-0.108187	-0.118563	-0.083162	-0.095369	-0.121309	-0.154574	-0.156710
0.001800	-0.167086	-0.198825	-0.122530	-0.099336	-0.106661	-0.076143	-0.076143	-0.105135	-0.139620	-0.135653
0.001900	-0.172885	-0.200046	-0.129549	-0.103914	-0.106050	-0.075532	-0.077363	-0.095369	-0.130160	-0.123445
0.002000	-0.183566	-0.204929	-0.141146	-0.106661	-0.120089	-0.075837	-0.070954	-0.087434	-0.125887	-0.111849
0.002100	-0.180514	-0.216220	-0.163119	-0.117952	-0.133822	-0.085298	-0.063325	-0.079500	-0.116121	-0.090181
0.002200	-0.192111	-0.218357	-0.182345	-0.129854	-0.145419	-0.106050	-0.079805	-0.075837	-0.118868	-0.080720
