#Iteration	Date	Time	STSX	STSY	RotationRateX	RotationRateY	FrCntX	FrCntY	TiptiltCmd1	TiptiltCmd2	TiptiltMonitor1	TiptiltMonitor2
1	20/03/2023	18:49:43.497	0.00000E+0	0.00000E+0	3.40305E+1	3.78981E-1	0.00000E+0	0.00000E+0	2.20358E+1	1.29297E+1	2.20346E+1	1.29316E+1
2	20/03/2023	18:49:45.039	0.00000E+0	0.00000E+0	-2.08525E+2	-4.26118E+0	0.00000E+0	0.00000E+0	1.80981E+1	1.67559E+1	1.80932E+1	1.67559E+1
3	20/03/2023	18:49:46.533	0.00000E+0	0.00000E+0	2.53018E+2	3.44060E+0	0.00000E+0	0.00000E+0	2.48390E+1	1.01447E+1	2.48391E+1	1.01453E+1
4	20/03/2023	18:49:48.013	0.00000E+0	0.00000E+0	-2.63695E+2	-3.95601E+0	0.00000E+0	0.00000E+0	1.75190E+1	1.74078E+1	1.75189E+1	1.74073E+1
5	20/03/2023	18:49:49.447	0.00000E+0	0.00000E+0	1.71481E+2	2.42681E+0	0.00000E+0	0.00000E+0	2.34737E+1	1.14797E+1	2.34733E+1	1.14789E+1
6	20/03/2023	18:49:50.954	0.00000E+0	0.00000E+0	1.25961E+2	-8.35695E-1	0.00000E+0	0.00000E+0	2.32612E+1	1.17637E+1	2.32621E+1	1.17638E+1
7	20/03/2023	18:49:52.397	0.00000E+0	0.00000E+0	-1.86952E+2	-2.71854E+0	0.00000E+0	0.00000E+0	1.84417E+1	1.64958E+1	1.84398E+1	1.64966E+1
8	20/03/2023	18:49:53.853	0.00000E+0	0.00000E+0	2.05532E+2	-1.83074E+0	0.00000E+0	0.00000E+0	2.42722E+1	1.07139E+1	2.42716E+1	1.07125E+1
9	20/03/2023	18:49:55.320	0.00000E+0	0.00000E+0	-2.39264E+2	-2.30292E+0	0.00000E+0	0.00000E+0	1.78280E+1	1.70909E+1	1.78249E+1	1.70912E+1
10	20/03/2023	18:49:56.782	0.00000E+0	0.00000E+0	2.37247E+2	2.89473E+0	0.00000E+0	0.00000E+0	2.45440E+1	1.04099E+1	2.45459E+1	1.04112E+1
11	20/03/2023	18:49:58.307	0.00000E+0	0.00000E+0	-2.16304E+2	-8.17904E-2	0.00000E+0	0.00000E+0	1.82672E+1	1.67584E+1	1.82659E+1	1.67591E+1
12	20/03/2023	18:49:59.783	0.00000E+0	0.00000E+0	1.30153E+2	2.21961E+0	0.00000E+0	0.00000E+0	2.27708E+1	1.22032E+1	2.27690E+1	1.22062E+1
13	20/03/2023	18:50:01.255	0.00000E+0	0.00000E+0	1.31016E+2	7.68058E-1	0.00000E+0	0.00000E+0	2.33497E+1	1.16304E+1	2.33502E+1	1.16296E+1
14	20/03/2023	18:50:02.735	0.00000E+0	0.00000E+0	-2.49448E+2	-2.58022E+0	0.00000E+0	0.00000E+0	1.77175E+1	1.72015E+1	1.77178E+1	1.72028E+1
15	20/03/2023	18:50:04.172	0.00000E+0	0.00000E+0	2.59227E+2	1.56272E+0	0.00000E+0	0.00000E+0	2.48815E+1	1.01125E+1	2.48807E+1	1.01126E+1
16	20/03/2023	18:50:05.672	0.00000E+0	0.00000E+0	-2.28171E+2	-3.24619E+0	0.00000E+0	0.00000E+0	1.81190E+1	1.67099E+1	1.81204E+1	1.67107E+1
17	20/03/2023	18:50:07.154	0.00000E+0	0.00000E+0	6.79657E+0	4.45890E+0	0.00000E+0	0.00000E+0	2.10451E+1	1.39135E+1	2.10440E+1	1.39148E+1
18	20/03/2023	18:50:08.688	0.00000E+0	0.00000E+0	2.31973E+2	4.09704E+0	0.00000E+0	0.00000E+0	2.46161E+1	1.03208E+1	2.46165E+1	1.03198E+1
19	20/03/2023	18:50:10.193	0.00000E+0	0.00000E+0	-2.58791E+2	-6.89829E-1	0.00000E+0	0.00000E+0	1.76314E+1	1.72578E+1	1.76307E+1	1.72581E+1
20	20/03/2023	18:50:11.714	0.00000E+0	0.00000E+0	2.27048E+2	4.64355E+0	0.00000E+0	0.00000E+0	2.43955E+1	1.05942E+1	2.43968E+1	1.05959E+1
21	20/03/2023	18:50:13.189	0.00000E+0	0.00000E+0	-2.06913E+2	-2.28639E+0	0.00000E+0	0.00000E+0	1.84230E+1	1.64637E+1	1.84233E+1	1.64613E+1
22	20/03/2023	18:50:14.646	0.00000E+0	0.00000E+0	-1.32490E+2	-1.43512E+0	0.00000E+0	0.00000E+0	1.91336E+1	1.58354E+1	1.91344E+1	1.58347E+1
23	20/03/2023	18:50:16.126	0.00000E+0	0.00000E+0	2.45708E+2	-7.11018E-1	0.00000E+0	0.00000E+0	2.47430E+1	1.02799E+1	2.47411E+1	1.02766E+1
24	20/03/2023	18:50:17.596	0.00000E+0	0.00000E+0	-2.00684E+2	3.26687E-1	0.00000E+0	0.00000E+0	1.84357E+1	1.64503E+1	1.84358E+1	1.64503E+1
25	20/03/2023	18:50:19.098	0.00000E+0	0.00000E+0	6.08216E+1	4.39640E+0	0.00000E+0	0.00000E+0	2.18048E+1	1.31548E+1	2.18030E+1	1.31539E+1
26	20/03/2023	18:50:20.575	0.00000E+0	0.00000E+0	1.94255E+2	1.07313E+0	0.00000E+0	0.00000E+0	2.41782E+1	1.08275E+1	2.41773E+1	1.08275E+1
27	20/03/2023	18:50:22.047	0.00000E+0	0.00000E+0	-2.41387E+2	-1.46221E+0	0.00000E+0	0.00000E+0	1.78228E+1	1.70608E+1	1.78213E+1	1.70604E+1
28	20/03/2023	18:50:23.552	0.00000E+0	0.00000E+0	1.80599E+2	3.71871E+0	0.00000E+0	0.00000E+0	2.36698E+1	1.13052E+1	2.36696E+1	1.13040E+1
29	20/03/2023	18:50:25.026	0.00000E+0	0.00000E+0	1.23164E+2	5.79943E-1	0.00000E+0	0.00000E+0	2.32883E+1	1.17330E+1	2.32895E+1	1.17332E+1
30	20/03/2023	18:50:26.481	0.00000E+0	0.00000E+0	-2.09789E+2	-5.47030E+0	0.00000E+0	0.00000E+0	1.82043E+1	1.66899E+1	1.82031E+1	1.66873E+1
31	20/03/2023	18:50:27.938	0.00000E+0	0.00000E+0	2.09236E+2	8.27965E-1	0.00000E+0	0.00000E+0	2.42745E+1	1.07835E+1	2.42758E+1	1.07811E+1
32	20/03/2023	18:50:29.402	0.00000E+0	0.00000E+0	-1.19091E+2	6.37657E-3	0.00000E+0	0.00000E+0	1.97742E+1	1.51716E+1	1.97739E+1	1.51713E+1
33	20/03/2023	18:50:30.892	0.00000E+0	0.00000E+0	-1.89772E+2	-1.55858E-1	0.00000E+0	0.00000E+0	1.83495E+1	1.66676E+1	1.83493E+1	1.66664E+1
34	20/03/2023	18:50:32.354	0.00000E+0	0.00000E+0	2.49538E+2	2.17409E+0	0.00000E+0	0.00000E+0	2.47473E+1	1.02155E+1	2.47480E+1	1.02157E+1
35	20/03/2023	18:50:33.883	0.00000E+0	0.00000E+0	-1.67016E+2	1.04771E+0	0.00000E+0	0.00000E+0	1.89567E+1	1.59465E+1	1.89582E+1	1.59464E+1
