#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
2	17/03/2023	15:57:37.811	0.00000000E+0	-6.28318531E+0	5.00000000E+0	2.99396565E-1	0.00000000E+0
4	17/03/2023	15:57:40.780	0.00000000E+0	-6.17849112E+0	5.00000000E+0	6.61620415E-1	0.00000000E+0
6	17/03/2023	15:57:43.772	0.00000000E+0	-6.07379693E+0	5.00000000E+0	4.36313116E-1	0.00000000E+0
8	17/03/2023	15:57:46.683	0.00000000E+0	-5.96910274E+0	5.00000000E+0	6.18954862E-1	0.00000000E+0
10	17/03/2023	15:57:49.644	0.00000000E+0	-5.86440855E+0	5.00000000E+0	6.67039853E-1	0.00000000E+0
12	17/03/2023	15:57:52.625	0.00000000E+0	-5.75971436E+0	5.00000000E+0	3.07777574E-1	0.00000000E+0
14	17/03/2023	15:57:55.565	0.00000000E+0	-5.65502017E+0	5.00000000E+0	5.77008906E-1	0.00000000E+0
16	17/03/2023	15:57:58.544	0.00000000E+0	-5.55032599E+0	5.00000000E+0	5.60741361E-1	0.00000000E+0
18	17/03/2023	15:58:01.510	0.00000000E+0	-5.44524830E+0	5.00000000E+0	6.60839181E-1	0.00000000E+0
20	17/03/2023	15:58:04.494	0.00000000E+0	-5.34055411E+0	5.00000000E+0	6.44983630E-1	0.00000000E+0
22	17/03/2023	15:58:07.480	0.00000000E+0	-5.23585992E+0	5.00000000E+0	3.55986927E-1	0.00000000E+0
24	17/03/2023	15:58:10.470	0.00000000E+0	-5.13116574E+0	5.00000000E+0	3.45001907E-1	0.00000000E+0
26	17/03/2023	15:58:13.506	0.00000000E+0	-5.02647155E+0	5.00000000E+0	6.05256949E-1	0.00000000E+0
28	17/03/2023	15:58:16.465	0.00000000E+0	-4.92177736E+0	5.00000000E+0	6.23939691E-1	0.00000000E+0
30	17/03/2023	15:58:19.477	0.00000000E+0	-4.81708317E+0	5.00000000E+0	6.73975194E-1	0.00000000E+0
32	17/03/2023	15:58:22.474	0.00000000E+0	-4.71238898E+0	5.00000000E+0	6.65349189E-1	0.00000000E+0
34	17/03/2023	15:58:25.449	0.00000000E+0	-4.60769479E+0	5.00000000E+0	3.92018378E-1	0.00000000E+0
36	17/03/2023	15:58:28.403	0.00000000E+0	-4.50300060E+0	5.00000000E+0	6.59452626E-1	0.00000000E+0
38	17/03/2023	15:58:31.383	0.00000000E+0	-4.39830641E+0	5.00000000E+0	4.17983534E-1	0.00000000E+0
40	17/03/2023	15:58:34.389	0.00000000E+0	-4.29361223E+0	5.00000000E+0	6.77677720E-1	0.00000000E+0
42	17/03/2023	15:58:37.345	0.00000000E+0	-4.18891804E+0	5.00000000E+0	3.48972998E-1	0.00000000E+0
44	17/03/2023	15:58:40.288	0.00000000E+0	-4.08422385E+0	5.00000000E+0	5.62856709E-1	0.00000000E+0
46	17/03/2023	15:58:43.249	0.00000000E+0	-3.97952966E+0	5.00000000E+0	6.62940432E-1	0.00000000E+0
