#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	02/09/2022	15:59:39.608	4.37337923E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
2	02/09/2022	15:59:41.017	2.21084981E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
3	02/09/2022	15:59:42.409	1.32497591E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
4	02/09/2022	15:59:43.926	4.48766079E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
5	02/09/2022	15:59:45.304	1.48566039E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
6	02/09/2022	15:59:46.783	4.32275786E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
7	02/09/2022	15:59:48.161	6.14014160E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
8	02/09/2022	15:59:49.547	6.90291355E-1	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
9	02/09/2022	15:59:51.094	3.49824319E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
10	02/09/2022	15:59:52.484	4.94593756E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
11	02/09/2022	15:59:53.911	4.62878703E-1	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
12	02/09/2022	15:59:55.421	4.37031126E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
13	02/09/2022	15:59:56.811	5.40306383E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
14	02/09/2022	15:59:58.471	9.29975853E-1	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
15	02/09/2022	15:59:59.879	4.02861704E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
16	02/09/2022	16:00:01.277	3.90896654E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
17	02/09/2022	16:00:02.737	3.59411699E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
18	02/09/2022	16:00:04.149	3.32605384E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
19	02/09/2022	16:00:05.574	5.36202984E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
20	02/09/2022	16:00:07.087	3.41732570E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
21	02/09/2022	16:00:08.568	6.21300569E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
22	02/09/2022	16:00:10.106	3.11014605E-1	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
23	02/09/2022	16:00:11.494	1.68200993E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
24	02/09/2022	16:00:12.942	3.41157327E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
25	02/09/2022	16:00:14.423	3.47446648E-1	-6.29000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
26	02/09/2022	16:00:15.813	5.55876288E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
27	02/09/2022	16:00:17.330	5.79998136E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
28	02/09/2022	16:00:18.742	5.48858326E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
29	02/09/2022	16:00:20.119	2.46395664E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
30	02/09/2022	16:00:21.699	5.12042787E+0	-6.31000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
31	02/09/2022	16:00:23.091	4.74997151E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
32	02/09/2022	16:00:24.523	6.90291355E-1	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
33	02/09/2022	16:00:25.913	2.06934008E+0	-6.30000000E+2	2.00000000E+0	-9.80595297E+0	7.16088500E+6
