0.000000	0.005171	0.003217	0.004194	0.005415	0.004194	0.003217	0.006391	0.004194	0.003950	0.004438	0.004194
0.000100	0.006880	0.006147	0.004926	0.006147	0.004438	0.003950	0.005415	0.003950	0.002729	0.004194	0.006880
0.000200	0.007368	0.006391	0.004682	0.004438	0.003462	0.005415	0.004926	0.004682	0.004194	0.003950	0.005903
0.000300	0.005415	0.006635	0.002729	0.004926	0.002973	0.004926	0.004926	0.004438	0.004926	0.003950	0.004194
0.000400	0.004926	0.005415	0.002973	0.003462	0.002241	0.005171	0.004926	0.004194	0.003950	0.004438	0.004194
0.000500	0.005171	0.006880	0.002973	0.002973	0.002485	0.004438	0.005659	0.003217	0.004194	0.004194	0.005659
0.000600	0.005171	0.007856	0.003217	0.002973	0.001753	0.004194	0.005415	0.003462	0.005171	0.003950	0.005415
0.000700	0.003462	0.007124	0.003462	0.002485	0.002485	0.003462	0.005415	0.002973	0.004682	0.004926	0.004194
0.000800	0.002973	0.004926	0.003217	0.002241	0.002485	0.004194	0.005171	0.002241	0.005171	0.005171	0.002729
0.000900	0.003217	0.004682	0.003462	0.001997	0.002241	0.004682	0.004194	0.002485	0.004682	0.003462	0.002485
0.001000	0.003950	0.004926	0.004438	0.001997	0.002973	0.004682	0.003462	0.001753	0.003217	0.002241	0.003462
0.001100	0.004926	0.004438	0.004682	0.001753	0.001753	0.002729	0.003462	0.001997	0.003950	0.004682	0.002973
0.001200	0.005659	0.003950	0.002485	0.000532	0.000776	0.003217	0.003462	0.001997	0.003217	0.004682	0.001753
0.001300	0.005415	0.002973	0.001753	-0.000445	0.001508	0.004682	0.001508	0.001997	0.001753	0.002241	0.001753
0.001400	0.004926	0.003462	0.002485	0.000532	0.000776	0.005659	-0.001421	0.001020	0.001753	0.000776	0.001997
0.001500	0.004194	0.004438	0.001997	-0.002398	-0.000445	0.003462	0.000532	0.001508	0.001508	0.000288	0.002729
0.001600	0.002729	0.004438	0.000776	-0.003619	-0.001665	0.001997	0.000288	0.001020	0.001264	0.001020	0.001264
0.001700	0.001997	0.003462	0.000288	-0.004351	-0.001665	0.001997	0.000044	-0.001665	0.001020	0.000532	0.001508
0.001800	0.000532	0.003217	0.001264	-0.002642	-0.001910	0.001264	-0.001910	-0.003863	0.000288	-0.000445	0.000288
0.001900	0.000044	0.002973	0.000532	-0.003619	-0.000445	0.001020	-0.003374	-0.003130	0.000288	-0.001177	-0.000201
0.002000	0.000044	0.001264	-0.000201	-0.004595	-0.001421	0.000776	-0.001910	-0.002398	0.000532	0.000044	-0.001665
0.002100	-0.000201	0.000776	-0.000201	-0.004595	-0.001910	-0.000201	-0.000445	-0.000689	0.001020	0.000776	-0.002398
0.002200	0.000776	0.000044	0.000532	-0.003863	-0.001910	0.001264	-0.001910	-0.003374	0.001508	0.000288	-0.002642
0.002300	-0.000201	-0.001421	-0.000201	-0.003619	-0.001421	0.001997	-0.002886	-0.002886	-0.000445	-0.001177	-0.002154
0.002400	0.000532	-0.001910	-0.001177	-0.004839	-0.002154	0.001264	-0.002642	-0.001910	-0.001421	-0.000689	-0.002886
0.002500	0.001020	-0.001421	-0.002154	-0.006304	-0.003130	0.001264	-0.001665	-0.002154	-0.003130	-0.001665	-0.002154
0.002600	0.000288	-0.001177	-0.002154	-0.005816	-0.002886	0.001020	-0.001421	-0.003130	-0.002398	-0.001910	-0.001910
0.002700	-0.001910	-0.001665	-0.003130	-0.005083	-0.003619	-0.000689	-0.002154	-0.004839	-0.002154	-0.003619	-0.002154
0.002800	-0.002886	-0.001665	-0.002398	-0.005328	-0.003863	-0.001665	-0.002642	-0.004839	-0.003863	-0.002642	-0.002398
0.002900	-0.002398	-0.002398	-0.002886	-0.005328	-0.003374	-0.002886	-0.003130	-0.003863	-0.004107	-0.004351	-0.003130
0.003000	-0.003130	-0.002642	-0.004839	-0.005816	-0.003863	-0.003619	-0.003130	-0.003374	-0.002642	-0.003619	-0.002642
0.003100	-0.004107	-0.002398	-0.004107	-0.004351	-0.003130	-0.002886	-0.002642	-0.003374	-0.001665	-0.003130	-0.004351
0.003200	-0.005328	-0.004595	-0.004107	-0.003863	-0.003374	-0.001910	-0.003374	-0.004839	-0.001421	-0.002642	-0.006304
0.003300	-0.005328	-0.006548	-0.004595	-0.005816	-0.003619	-0.002398	-0.002642	-0.002886	-0.001421	-0.002398	-0.006548
