Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1505262030,32447044.739873912,30184535.23626536,2262.510,3.96514e14,0.5235,-1.83683e6,9.20840e5,-2.31010e-9
1505262060,32443782.638827022,30169526.946342193,2274.256,4.00765e14,0.5430,-1.85735e6,9.26177e5,-2.32348e-9
1505262090,32440465.80317142,30154480.289362494,2285.986,4.12320e14,3.4419,-1.89505e6,9.31516e5,-2.33687e-9
1505262120,32437094.25095594,30139395.404672828,2297.699,4.02202e14,0.9035,-1.88214e6,9.36857e5,-2.35026e-9
1505262150,32433668.00054198,30124272.432450287,2309.396,3.94904e14,0.9273,-1.87562e6,9.42201e5,-2.36366e-9
1505262180,32430187.070604276,30109111.513706457,2321.076,3.89182e14,2.3629,-1.87266e6,9.47547e5,-2.37707e-9
1505262210,32426651.480131656,30093912.79029139,2332.739,3.90091e14,2.1348,-1.88540e6,9.52895e5,-2.39048e-9
1505262240,32423061.24842776,30078676.404897604,2344.385,3.88479e14,2.5393,-1.89211e6,9.58246e5,-2.40390e-9
1505262270,32419416.39511181,30063402.50106403,2356.014,3.89338e14,2.3236,-1.90476e6,9.63599e5,-2.41732e-9
1505262300,32415716.940119375,30048091.223180052,2367.626,4.00233e14,0.4096,-1.94182e6,9.68954e5,-2.43075e-9
1505262330,32411962.90368421,30032742.71646388,2379.220,4.00228e14,0.4084,-1.95254e6,9.74312e5,-2.44419e-9
1505262360,32408154.30639739,30017357.127045613,2390.797,3.97926e14,0.1692,-1.95763e6,9.79672e5,-2.45763e-9
1505262390,32404291.169149607,30001934.601891886,2402.357,3.97733e14,0.2176,-1.96786e6,9.85034e5,-2.47107e-9
1505262420,32400373.513150696,29986475.288835358,2413.898,3.96132e14,0.6193,-1.97460e6,9.90399e5,-2.48453e-9
1505262450,32396401.35993028,29970979.336578544,2425.422,4.02764e14,1.0445,-2.00186e6,9.95766e5,-2.49798e-9
1505262480,32392374.731338408,29955446.89469766,2436.928,4.00091e14,0.3739,-2.00594e6,1.00114e6,-2.51145e-9
1505262510,32388293.64954623,29939878.113646433,2448.416,3.91004e14,1.9058,-1.99376e6,1.00651e6,-2.52492e-9
1505262540,32384158.137046635,29924273.144759938,2459.885,3.87159e14,2.8703,-1.99464e6,1.01188e6,-2.53839e-9
1505262570,32379968.216654904,29908632.140258443,2471.336,3.96404e14,0.5510,-2.02883e6,1.01726e6,-2.55187e-9
1505262600,32375723.91150943,29892955.253251284,2482.769,4.06171e14,1.8992,-2.06461e6,1.02263e6,-2.56536e-9
1505262630,32371425.24508801,29877242.637765173,2494.183,3.91829e14,1.6989,-2.03848e6,1.02801e6,-2.57885e-9
1505262660,32367072.241160475,29861494.448672708,2505.578,3.87719e14,2.7300,-2.03850e6,1.03340e6,-2.59235e-9
1505262690,32362664.923837606,29845710.841771953,2516.954,3.95545e14,0.7665,-2.06951e6,1.03878e6,-2.60585e-9
1505262720,32358203.317556463,29829891.97376601,2528.311,3.97726e14,0.2193,-2.08596e6,1.04417e6,-2.61936e-9
1505262750,32353687.447081264,29814038.00226712,2539.649,4.01410e14,0.7047,-2.10642e6,1.04956e6,-2.63287e-9
1505262780,32349117.337504294,29798149.085800875,2550.968,3.92337e14,1.5715,-2.09322e6,1.05495e6,-2.64639e-9
1505262810,32344493.014246907,29782225.383810308,2562.268,3.86425e14,3.0544,-2.08820e6,1.06034e6,-2.65991e-9
1505262840,32339814.50306042,29766267.056660026,2573.547,3.99625e14,0.2569,-2.13411e6,1.06574e6,-2.67344e-9
1505262870,32335081.83002713,29750274.265640408,2584.808,4.05175e14,1.6494,-2.15983e6,1.07113e6,-2.68697e-9
1505262900,32330295.021561287,29734247.17297169,2596.048,3.91933e14,1.6727,-2.13495e6,1.07653e6,-2.70051e-9
1505262930,32325454.104406554,29718185.941778746,2607.268,3.85193e14,3.3636,-2.12737e6,1.08193e6,-2.71406e-9
1505262960,32320559.105647963,29702090.736185864,2618.468,3.91101e14,1.8814,-2.15411e6,1.08734e6,-2.72760e-9
1505262990,32315610.05270204,29685961.72123003,2629.648,3.91863e14,1.6903,-2.16690e6,1.09274e6,-2.74116e-9
1505263020,32310606.973321233,29669799.062894236,2640.808,4.02139e14,0.8877,-2.20593e6,1.09815e6,-2.75472e-9
1505263050,32305549.895595063,29653602.92811139,2651.947,4.10149e14,2.8974,-2.23897e6,1.10356e6,-2.76828e-9
1505263080,32300438.847951,29637373.484768245,2663.065,3.89705e14,2.2317,-2.19307e6,1.10897e6,-2.78185e-9
1505263110,32295273.859155543,29621110.90170934,2674.163,3.87196e14,2.8610,-2.19676e6,1.11438e6,-2.79542e-9
1505263140,32290054.958315212,29604815.348740924,2685.240,3.98566e14,0.0088,-2.23937e6,1.11980e6,-2.80900e-9
1505263170,32284782.17487754,29588486.996634886,2696.295,3.94579e14,1.0090,-2.23895e6,1.12522e6,-2.82258e-9
1505263200,32279455.538632102,29572126.017132748,2707.330,3.96835e14,0.4428,-2.25613e6,1.13063e6,-2.83617e-9
1505263230,32274075.079697855,29555732.58298711,2718.342,4.03884e14,1.3256,-2.28703e6,1.13605e6,-2.84976e-9
1505263260,32268640.828566346,29539306.867850214,2729.334,4.03957e14,1.3438,-2.29815e6,1.14148e6,-2.86336e-9
1505263290,32263152.8160604,29522849.046393666,2740.304,4.02758e14,1.0431,-2.30562e6,1.14690e6,-2.87696e-9
1505263320,32257611.0733487,29506359.294275284,2751.252,3.98140e14,0.1155,-2.30318e6,1.15233e6,-2.89056e-9
1505263350,32252015.631946795,29489837.78814351,2762.178,3.94004e14,1.1532,-2.30201e6,1.15775e6,-2.90417e-9
1505263380,32246366.523718,29473284.705641687,2773.082,4.01652e14,0.7655,-2.33512e6,1.16318e6,-2.91779e-9
1505263410,32240663.780874465,29456700.22541247,2783.964,4.04921e14,1.5857,-2.35560e6,1.16861e6,-2.93140e-9
1505263440,32234907.435978055,29440084.527102143,2794.823,4.06975e14,2.1011,-2.37260e6,1.17405e6,-2.94502e-9
1505263470,32229097.521941423,29423437.79136499,2805.660,4.04742e14,1.5408,-2.37697e6,1.17948e6,-2.95865e-9
1505263500,32223234.07202911,29406760.19986763,2816.474,3.97833e14,0.1925,-2.36738e6,1.18491e6,-2.97228e-9
1505263530,32217317.119888064,29390051.935252115,2827.265,3.99948e14,0.3380,-2.38456e6,1.19035e6,-2.98591e-9
1505263560,32211346.699457698,29373313.181267362,2838.034,3.96439e14,0.5422,-2.38493e6,1.19579e6,-2.99955e-9
1505263590,32205322.845062368,29356544.122646037,2848.779,3.98471e14,0.0326,-2.40190e6,1.20123e6,-3.01319e-9
1505263620,32199245.591383196,29339744.945149727,2859.501,4.01820e14,0.8078,-2.42291e6,1.20667e6,-3.02683e-9
1505263650,32193114.973459404,29322915.835572917,2870.199,3.96350e14,0.5645,-2.41721e6,1.21211e6,-3.04048e-9
1505263680,32186931.026689757,29306056.981746953,2880.874,3.99385e14,0.1968,-2.43733e6,1.21756e6,-3.05413e-9
1505263710,32180693.786833975,29289168.57254397,2891.525,3.99800e14,0.3010,-2.44950e6,1.22300e6,-3.06778e-9
1505263740,32174403.29001414,29272250.79788088,2902.152,4.00814e14,0.5552,-2.46353e6,1.22845e6,-3.08144e-9
1505263770,32168059.572716124,29255303.84872323,2912.756,3.99787e14,0.2977,-2.47128e6,1.23390e6,-3.09510e-9
1505263800,32161662.67179101,29238327.917089213,2923.335,4.02469e14,0.9705,-2.49053e6,1.23935e6,-3.10876e-9
1505263830,32155212.62441871,29221323.19609022,2933.889,4.02962e14,1.0943,-2.50302e6,1.24480e6,-3.12243e-9
1505263860,32148709.468225934,29204289.87982189,2944.420,3.94559e14,1.0139,-2.48762e6,1.25025e6,-3.13610e-9
1505263890,32142153.241170745,29187228.163481392,2954.925,3.93001e14,1.4049,-2.49356e6,1.25570e6,-3.14977e-9
1505263920,32135543.981581442,29170138.243334983,2965.406,3.95964e14,0.6615,-2.51376e6,1.26115e6,-3.16344e-9
1505263950,32128881.728157766,29153020.316722296,2975.861,3.92310e14,1.5781,-2.51302e6,1.26661e6,-3.17712e-9
1505263980,32122166.51997193,29135874.582060643,2986.292,3.91537e14,1.7721,-2.52138e6,1.27206e6,-3.19080e-9
1505264010,32115398.396469817,29118701.23884929,2996.697,3.98796e14,0.0492,-2.55545e6,1.27752e6,-3.20448e-9
1505264040,32108577.397472076,29101500.487673752,3007.077,4.02099e14,0.8777,-2.57700e6,1.28298e6,-3.21816e-9
1505264070,32101703.56317525,29084272.530210074,3017.431,4.02878e14,1.0732,-2.59048e6,1.28843e6,-3.23185e-9
1505264100,32094776.934152987,29067017.569229122,3027.759,3.98423e14,0.0445,-2.58699e6,1.29389e6,-3.24554e-9
1505264130,32087797.551391274,29049735.808575343,3038.062,3.97959e14,0.1609,-2.59639e6,1.29935e6,-3.25923e-9
1505264160,32080765.456184704,29032427.453249745,3048.338,4.05471e14,1.7236,-2.63189e6,1.30481e6,-3.27292e-9
1505264190,32073680.690242946,29015092.709335063,3058.588,4.04497e14,1.4793,-2.63970e6,1.31027e6,-3.28661e-9
1505264220,32066543.2956582,28997731.784025416,3068.812,3.92116e14,1.6267,-2.60984e6,1.31574e6,-3.30030e-9
1505264250,32059353.31490682,28980344.885630317,3079.008,3.90881e14,1.9368,-2.61658e6,1.32120e6,-3.31400e-9
1505264280,32052110.790850833,28962932.223578673,3089.179,3.99054e14,0.1138,-2.65459e6,1.32666e6,-3.32770e-9
1505264310,32044815.766739674,28945494.008422792,3099.322,4.00360e14,0.4413,-2.66988e6,1.33212e6,-3.34140e-9
1505264340,32037468.28621169,28928030.451842364,3109.438,4.03235e14,1.1628,-2.69048e6,1.33759e6,-3.35510e-9
1505264370,32030068.39329591,28910541.76664839,3119.527,4.08502e14,2.4841,-2.71921e6,1.34305e6,-3.36880e-9
1505264400,32022616.13241364,28893028.166787155,3129.588,4.02314e14,0.9316,-2.70934e6,1.34852e6,-3.38250e-9
1505264430,32015111.548362106,28875489.867357638,3139.622,3.99840e14,0.3111,-2.71192e6,1.35398e6,-3.39620e-9
1505264460,32007554.68637194,28857927.08457377,3149.628,4.05711e14,1.7839,-2.74288e6,1.35944e6,-3.40990e-9
