Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1512951630,31088903.83347898,27130484.829781625,3958.419,4.04588e14,1.5021,-3.76998e6,1.87122e6,-4.69309e-9
1512951660,31076595.36185275,27111661.633926425,3964.934,4.01788e14,0.7998,-3.76713e6,1.87634e6,-4.70594e-9
1512951690,31064240.853123184,27092840.464991223,3971.400,3.92728e14,1.4733,-3.73465e6,1.88146e6,-4.71877e-9
1512951720,31051840.400183283,27074021.66663508,3977.819,3.92720e14,1.4752,-3.74474e6,1.88656e6,-4.73157e-9
1512951750,31039394.096538324,27055205.583902314,3984.189,3.99523e14,0.2314,-3.78713e6,1.89165e6,-4.74434e-9
1512951780,31026902.036308736,27036392.563221373,3990.509,3.97063e14,0.3857,-3.78560e6,1.89674e6,-4.75709e-9
1512951810,31014364.31423289,27017582.952403814,3996.781,3.95590e14,0.7553,-3.78870e6,1.90181e6,-4.76981e-9
1512951840,31001781.025670074,26998777.100642983,4003.004,4.00821e14,0.5571,-3.82380e6,1.90687e6,-4.78250e-9
1512951870,30989152.26660333,26979975.35851275,4009.177,3.99239e14,0.1603,-3.82634e6,1.91192e6,-4.79517e-9
1512951900,30976478.133642398,26961178.077966,4015.300,3.95663e14,0.7369,-3.81923e6,1.91696e6,-4.80781e-9
1512951930,30963758.724046074,26942385.612347387,4021.373,3.96645e14,0.4906,-3.83398e6,1.92199e6,-4.82042e-9
1512951960,30950994.135665435,26923598.316347774,4027.396,3.98146e14,0.1140,-3.85124e6,1.92700e6,-4.83300e-9
1512951990,30938184.46700679,26904816.54604639,4033.368,4.00601e14,0.5018,-3.87314e6,1.93201e6,-4.84555e-9
1512952020,30925329.817215443,26886040.658894893,4039.289,4.02145e14,0.8893,-3.89065e6,1.93700e6,-4.85807e-9
1512952050,30912430.28607883,26867271.013715494,4045.159,4.05161e14,1.6460,-3.91534e6,1.94198e6,-4.87056e-9
1512952080,30899485.974029854,26848507.970698964,4050.978,4.01156e14,0.6410,-3.90580e6,1.94695e6,-4.88302e-9
1512952110,30886496.982150085,26829751.891402505,4056.745,3.96931e14,0.4187,-3.89506e6,1.95190e6,-4.89545e-9
1512952140,30873463.41217293,26811003.138747513,4062.460,3.99877e14,0.3202,-3.91938e6,1.95684e6,-4.90784e-9
1512952170,30860385.366487,26792262.07701727,4068.123,4.00390e14,0.4490,-3.93178e6,1.96177e6,-4.92021e-9
1512952200,30847262.948139336,26773529.07185439,4073.734,3.97660e14,0.2358,-3.92816e6,1.96669e6,-4.93254e-9
1512952230,30834096.26081685,26754804.49024266,4079.292,3.94084e14,1.1330,-3.92027e6,1.97159e6,-4.94483e-9
1512952260,30820885.408916898,26736088.70055216,4084.797,3.95605e14,0.7514,-3.93754e6,1.97648e6,-4.95710e-9
