#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	20/03/2023	18:41:10.974	0.00000000E+0	-6.28318531E+0	4.00000000E+0	1.79399053E+0	2.49300000E+3	3.43409364E-1
3	20/03/2023	18:41:13.994	0.00000000E+0	-6.17849112E+0	4.00000000E+0	1.34836911E+0	2.49300000E+3	6.00194805E-1
5	20/03/2023	18:41:16.951	0.00000000E+0	-6.07379693E+0	4.00000000E+0	4.92216085E+0	2.49100000E+3	6.50478905E-1
7	20/03/2023	18:41:19.907	0.00000000E+0	-5.96910274E+0	4.00000000E+0	3.01082079E+0	2.49800000E+3	3.43547059E-1
9	20/03/2023	18:41:22.901	0.00000000E+0	-5.86440855E+0	4.00000000E+0	8.05339914E-2	2.49100000E+3	4.22639664E-1
11	20/03/2023	18:41:25.850	0.00000000E+0	-5.75971436E+0	4.00000000E+0	3.61597621E+0	2.51300000E+3	3.25603572E-1
13	20/03/2023	18:41:28.854	0.00000000E+0	-5.65502017E+0	4.00000000E+0	4.03091802E+0	2.50200000E+3	3.88208030E-1
15	20/03/2023	18:41:31.847	0.00000000E+0	-5.55032599E+0	4.00000000E+0	3.52432086E-1	2.51200000E+3	4.10272204E-1
17	20/03/2023	18:41:34.818	0.00000000E+0	-5.44524830E+0	4.00000000E+0	4.97661717E+0	2.48000000E+3	3.36227359E-1
19	20/03/2023	18:41:37.788	0.00000000E+0	-5.34055411E+0	4.00000000E+0	4.22458309E+0	2.48900000E+3	4.60761318E-1
21	20/03/2023	18:41:40.783	0.00000000E+0	-5.23585992E+0	4.00000000E+0	2.57938869E+0	2.49800000E+3	3.19046375E-1
23	20/03/2023	18:41:43.736	0.00000000E+0	-5.13116574E+0	4.00000000E+0	4.97009775E+0	2.52300000E+3	3.80068038E-1
25	20/03/2023	18:41:46.714	0.00000000E+0	-5.02647155E+0	4.00000000E+0	2.19742748E-1	2.50100000E+3	4.58564584E-1
27	20/03/2023	18:41:49.705	0.00000000E+0	-4.92177736E+0	4.00000000E+0	4.19927241E+0	2.51900000E+3	3.57327994E-1
29	20/03/2023	18:41:52.721	0.00000000E+0	-4.81708317E+0	4.00000000E+0	1.21184482E-1	2.50700000E+3	4.85397819E-1
31	20/03/2023	18:41:55.694	0.00000000E+0	-4.71238898E+0	4.00000000E+0	3.53927717E+0	2.52200000E+3	3.04610819E-1
33	20/03/2023	18:41:58.666	0.00000000E+0	-4.60769479E+0	4.00000000E+0	4.84162686E+0	2.50600000E+3	3.33170618E-1
35	20/03/2023	18:42:01.576	0.00000000E+0	-4.50300060E+0	4.00000000E+0	5.52156385E+0	2.50900000E+3	4.37479147E-1
37	20/03/2023	18:42:04.608	0.00000000E+0	-4.39830641E+0	4.00000000E+0	5.18677254E+0	2.49600000E+3	3.60002777E-1
39	20/03/2023	18:42:07.571	0.00000000E+0	-4.29361223E+0	4.00000000E+0	4.29092776E+0	2.50300000E+3	3.33212586E-1
41	20/03/2023	18:42:10.532	0.00000000E+0	-4.18891804E+0	4.00000000E+0	5.60286483E-1	2.49000000E+3	5.36322122E-1
43	20/03/2023	18:42:13.533	0.00000000E+0	-4.08422385E+0	4.00000000E+0	4.36034039E+0	2.47700000E+3	5.31786862E-1
