#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
88	15/03/2023	17:27:50.786	0.00000000E+0	-1.78018470E+0	5.00000000E+0	5.51316260E-1	0.00000000E+0
90	15/03/2023	17:27:53.796	0.00000000E+0	-1.67549052E+0	5.00000000E+0	6.11047336E-1	0.00000000E+0
92	15/03/2023	17:27:56.736	0.00000000E+0	-1.57079633E+0	5.00000000E+0	3.26195237E-1	0.00000000E+0
94	15/03/2023	17:27:59.695	0.00000000E+0	-1.46610214E+0	5.00000000E+0	3.44103583E-1	0.00000000E+0
96	15/03/2023	17:28:02.757	0.00000000E+0	-1.36140795E+0	5.00000000E+0	5.90316222E-1	0.00000000E+0
98	15/03/2023	17:28:05.709	0.00000000E+0	-1.25671376E+0	5.00000000E+0	4.64994866E-1	0.00000000E+0
100	15/03/2023	17:28:08.689	0.00000000E+0	-1.15201957E+0	5.00000000E+0	3.77844845E-1	0.00000000E+0
102	15/03/2023	17:28:11.622	0.00000000E+0	-1.04732538E+0	5.00000000E+0	5.39821991E-1	0.00000000E+0
104	15/03/2023	17:28:14.625	0.00000000E+0	-9.42631194E-1	5.00000000E+0	3.37336241E-1	0.00000000E+0
106	15/03/2023	17:28:17.589	0.00000000E+0	-8.37937005E-1	5.00000000E+0	4.69874210E-1	0.00000000E+0
108	15/03/2023	17:28:20.569	0.00000000E+0	-7.32859321E-1	5.00000000E+0	3.27669247E-1	0.00000000E+0
110	15/03/2023	17:28:23.524	0.00000000E+0	-6.28165133E-1	5.00000000E+0	3.97676463E-1	0.00000000E+0
112	15/03/2023	17:28:26.517	0.00000000E+0	-5.23470944E-1	5.00000000E+0	3.25303912E-1	0.00000000E+0
114	15/03/2023	17:28:29.445	0.00000000E+0	-4.18776755E-1	5.00000000E+0	3.37113860E-1	0.00000000E+0
116	15/03/2023	17:28:32.456	0.00000000E+0	-3.14082566E-1	5.00000000E+0	3.11511868E-1	0.00000000E+0
118	15/03/2023	17:28:35.400	0.00000000E+0	-2.09388378E-1	5.00000000E+0	3.13128492E-1	0.00000000E+0
120	15/03/2023	17:28:38.375	0.00000000E+0	-1.04694189E-1	5.00000000E+0	3.16996133E-1	0.00000000E+0
122	15/03/2023	17:28:41.330	0.00000000E+0	0.00000000E+0	5.00000000E+0	3.51227402E-1	0.00000000E+0
124	15/03/2023	17:28:44.330	0.00000000E+0	1.04694189E-1	5.00000000E+0	3.11416893E-1	0.00000000E+0
126	15/03/2023	17:28:47.269	0.00000000E+0	2.09388378E-1	5.00000000E+0	3.44854883E-1	0.00000000E+0
128	15/03/2023	17:28:50.251	0.00000000E+0	3.14082566E-1	5.00000000E+0	3.65178028E-1	0.00000000E+0
130	15/03/2023	17:28:53.200	0.00000000E+0	4.18776755E-1	5.00000000E+0	3.05787939E-1	0.00000000E+0
132	15/03/2023	17:28:56.180	0.00000000E+0	5.23470944E-1	5.00000000E+0	4.13855870E-1	0.00000000E+0
134	15/03/2023	17:28:59.148	0.00000000E+0	6.28165133E-1	5.00000000E+0	3.86956929E-1	0.00000000E+0
136	15/03/2023	17:29:02.109	0.00000000E+0	7.32859321E-1	5.00000000E+0	3.33093635E-1	0.00000000E+0
138	15/03/2023	17:29:05.031	0.00000000E+0	8.37937005E-1	5.00000000E+0	3.56995749E-1	0.00000000E+0
140	15/03/2023	17:29:07.972	0.00000000E+0	9.42631194E-1	5.00000000E+0	3.24536195E-1	0.00000000E+0
142	15/03/2023	17:29:10.903	0.00000000E+0	1.04732538E+0	5.00000000E+0	3.79596041E-1	0.00000000E+0
144	15/03/2023	17:29:13.919	0.00000000E+0	1.15201957E+0	5.00000000E+0	3.63718990E-1	0.00000000E+0
146	15/03/2023	17:29:16.892	0.00000000E+0	1.25671376E+0	5.00000000E+0	4.25818851E-1	0.00000000E+0
148	15/03/2023	17:29:19.809	0.00000000E+0	1.36140795E+0	5.00000000E+0	4.48690780E-1	0.00000000E+0
150	15/03/2023	17:29:22.831	0.00000000E+0	1.46610214E+0	5.00000000E+0	6.49752381E-1	0.00000000E+0
152	15/03/2023	17:29:25.764	0.00000000E+0	1.57079633E+0	5.00000000E+0	5.07475255E-1	0.00000000E+0
154	15/03/2023	17:29:28.760	0.00000000E+0	1.67549052E+0	5.00000000E+0	5.15381549E-1	0.00000000E+0
156	15/03/2023	17:29:31.739	0.00000000E+0	1.78018470E+0	5.00000000E+0	6.11843345E-1	0.00000000E+0
158	15/03/2023	17:29:34.713	0.00000000E+0	1.88487889E+0	5.00000000E+0	4.90599790E-1	0.00000000E+0
160	15/03/2023	17:29:37.646	0.00000000E+0	1.98957308E+0	5.00000000E+0	6.33518242E-1	0.00000000E+0
162	15/03/2023	17:29:40.618	0.00000000E+0	2.09426727E+0	5.00000000E+0	6.65484365E-1	0.00000000E+0
164	15/03/2023	17:29:43.605	0.00000000E+0	2.19896146E+0	5.00000000E+0	3.36024816E-1	0.00000000E+0
166	15/03/2023	17:29:46.635	0.00000000E+0	2.30365565E+0	5.00000000E+0	6.59367713E-1	0.00000000E+0
168	15/03/2023	17:29:49.634	0.00000000E+0	2.40873333E+0	5.00000000E+0	6.46481290E-1	0.00000000E+0
170	15/03/2023	17:29:52.571	0.00000000E+0	2.51342752E+0	5.00000000E+0	5.55665949E-1	0.00000000E+0
172	15/03/2023	17:29:55.514	0.00000000E+0	2.61812171E+0	5.00000000E+0	6.54475465E-1	0.00000000E+0
174	15/03/2023	17:29:58.504	0.00000000E+0	2.72281590E+0	5.00000000E+0	6.10675992E-1	0.00000000E+0
176	15/03/2023	17:30:01.441	0.00000000E+0	2.82751009E+0	5.00000000E+0	6.71303394E-1	0.00000000E+0
178	15/03/2023	17:30:04.414	0.00000000E+0	2.93220428E+0	5.00000000E+0	6.59540127E-1	0.00000000E+0
180	15/03/2023	17:30:07.404	0.00000000E+0	3.03689846E+0	5.00000000E+0	6.55942333E-1	0.00000000E+0
182	15/03/2023	17:30:10.368	0.00000000E+0	3.14159265E+0	5.00000000E+0	6.45379660E-1	0.00000000E+0
184	15/03/2023	17:30:13.378	0.00000000E+0	3.24628684E+0	5.00000000E+0	5.71515098E-1	0.00000000E+0
186	15/03/2023	17:30:16.300	0.00000000E+0	3.35098103E+0	5.00000000E+0	6.54129955E-1	0.00000000E+0
188	15/03/2023	17:30:19.274	0.00000000E+0	3.45567522E+0	5.00000000E+0	6.58838928E-1	0.00000000E+0
190	15/03/2023	17:30:22.305	0.00000000E+0	3.56036941E+0	5.00000000E+0	6.39302709E-1	0.00000000E+0
192	15/03/2023	17:30:25.241	0.00000000E+0	3.66506360E+0	5.00000000E+0	6.70383609E-1	0.00000000E+0
194	15/03/2023	17:30:28.157	0.00000000E+0	3.76975779E+0	5.00000000E+0	6.59988132E-1	0.00000000E+0
196	15/03/2023	17:30:31.153	0.00000000E+0	3.87445198E+0	5.00000000E+0	6.44887187E-1	0.00000000E+0
198	15/03/2023	17:30:34.099	0.00000000E+0	3.97952966E+0	5.00000000E+0	5.14642779E-1	0.00000000E+0
200	15/03/2023	17:30:37.029	0.00000000E+0	4.08422385E+0	5.00000000E+0	6.36164574E-1	0.00000000E+0
202	15/03/2023	17:30:39.968	0.00000000E+0	4.18891804E+0	5.00000000E+0	6.57702356E-1	0.00000000E+0
204	15/03/2023	17:30:42.969	0.00000000E+0	4.29361223E+0	5.00000000E+0	4.53910192E-1	0.00000000E+0
206	15/03/2023	17:30:45.902	0.00000000E+0	4.39830641E+0	5.00000000E+0	4.84553483E-1	0.00000000E+0
208	15/03/2023	17:30:48.869	0.00000000E+0	4.50300060E+0	5.00000000E+0	5.48547738E-1	0.00000000E+0
210	15/03/2023	17:30:51.827	0.00000000E+0	4.60769479E+0	5.00000000E+0	3.32612926E-1	0.00000000E+0
212	15/03/2023	17:30:54.768	0.00000000E+0	4.71238898E+0	5.00000000E+0	5.06641057E-1	0.00000000E+0
214	15/03/2023	17:30:57.747	0.00000000E+0	4.81708317E+0	5.00000000E+0	5.24582300E-1	0.00000000E+0
216	15/03/2023	17:31:00.772	0.00000000E+0	4.92177736E+0	5.00000000E+0	3.03697107E-1	0.00000000E+0
218	15/03/2023	17:31:04.212	0.00000000E+0	5.02647155E+0	5.00000000E+0	4.63982336E-1	0.00000000E+0
220	15/03/2023	17:31:07.147	0.00000000E+0	5.13116574E+0	5.00000000E+0	4.28850545E-1	0.00000000E+0
222	15/03/2023	17:31:10.117	0.00000000E+0	5.23585992E+0	5.00000000E+0	3.30342234E-1	0.00000000E+0
224	15/03/2023	17:31:13.111	0.00000000E+0	5.34055411E+0	5.00000000E+0	5.73984925E-1	0.00000000E+0
226	15/03/2023	17:31:16.048	0.00000000E+0	5.44524830E+0	5.00000000E+0	3.29570219E-1	0.00000000E+0
228	15/03/2023	17:31:18.987	0.00000000E+0	5.55032599E+0	5.00000000E+0	3.30523538E-1	0.00000000E+0
230	15/03/2023	17:31:21.956	0.00000000E+0	5.65502017E+0	5.00000000E+0	3.33355599E-1	0.00000000E+0
232	15/03/2023	17:31:24.893	0.00000000E+0	5.75971436E+0	5.00000000E+0	3.24256147E-1	0.00000000E+0
234	15/03/2023	17:31:27.870	0.00000000E+0	5.86440855E+0	5.00000000E+0	3.92158244E-1	0.00000000E+0
236	15/03/2023	17:31:30.819	0.00000000E+0	5.96910274E+0	5.00000000E+0	3.16109031E-1	0.00000000E+0
238	15/03/2023	17:31:33.842	0.00000000E+0	6.07379693E+0	5.00000000E+0	3.11772816E-1	0.00000000E+0
240	15/03/2023	17:31:36.781	0.00000000E+0	6.17849112E+0	5.00000000E+0	3.09213259E-1	0.00000000E+0
242	15/03/2023	17:31:39.780	0.00000000E+0	6.28318531E+0	5.00000000E+0	3.37296760E-1	0.00000000E+0
