#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
1	15/03/2023	18:06:33.305	0.00000000E+0	-6.28318531E+0	4.00000000E+0	3.31889227E-1	0.00000000E+0
3	15/03/2023	18:06:36.325	0.00000000E+0	-6.17849112E+0	4.00000000E+0	3.25475050E-1	0.00000000E+0
5	15/03/2023	18:06:39.354	0.00000000E+0	-6.07379693E+0	4.00000000E+0	3.52957881E-1	0.00000000E+0
7	15/03/2023	18:06:42.385	0.00000000E+0	-5.96910274E+0	4.00000000E+0	3.37187403E-1	0.00000000E+0
9	15/03/2023	18:06:45.319	0.00000000E+0	-5.86440855E+0	4.00000000E+0	2.97153423E-1	0.00000000E+0
11	15/03/2023	18:06:48.305	0.00000000E+0	-5.75971436E+0	4.00000000E+0	3.14136424E-1	0.00000000E+0
13	15/03/2023	18:06:51.278	0.00000000E+0	-5.65502017E+0	4.00000000E+0	2.92157211E-1	0.00000000E+0
15	15/03/2023	18:06:54.212	0.00000000E+0	-5.55032599E+0	4.00000000E+0	3.92859244E-1	0.00000000E+0
17	15/03/2023	18:06:57.217	0.00000000E+0	-5.44524830E+0	4.00000000E+0	4.55129933E-1	0.00000000E+0
19	15/03/2023	18:07:00.213	0.00000000E+0	-5.34055411E+0	4.00000000E+0	3.49958290E-1	0.00000000E+0
21	15/03/2023	18:07:03.188	0.00000000E+0	-5.23585992E+0	4.00000000E+0	4.09270069E-1	0.00000000E+0
23	15/03/2023	18:07:06.199	0.00000000E+0	-5.13116574E+0	4.00000000E+0	5.12385172E-1	0.00000000E+0
25	15/03/2023	18:07:09.210	0.00000000E+0	-5.02647155E+0	4.00000000E+0	5.12181950E-1	0.00000000E+0
27	15/03/2023	18:07:12.238	0.00000000E+0	-4.92177736E+0	4.00000000E+0	5.06451571E-1	0.00000000E+0
29	15/03/2023	18:07:15.223	0.00000000E+0	-4.81708317E+0	4.00000000E+0	4.03418822E-1	0.00000000E+0
31	15/03/2023	18:07:18.224	0.00000000E+0	-4.71238898E+0	4.00000000E+0	3.89220394E-1	0.00000000E+0
33	15/03/2023	18:07:21.218	0.00000000E+0	-4.60769479E+0	4.00000000E+0	4.03190298E-1	0.00000000E+0
35	15/03/2023	18:07:24.262	0.00000000E+0	-4.50300060E+0	4.00000000E+0	6.53011880E-1	0.00000000E+0
37	15/03/2023	18:07:27.241	0.00000000E+0	-4.39830641E+0	4.00000000E+0	5.10152020E-1	0.00000000E+0
39	15/03/2023	18:07:30.196	0.00000000E+0	-4.29361223E+0	4.00000000E+0	5.22868212E-1	0.00000000E+0
41	15/03/2023	18:07:33.183	0.00000000E+0	-4.18891804E+0	4.00000000E+0	5.82212365E-1	0.00000000E+0
43	15/03/2023	18:07:36.127	0.00000000E+0	-4.08422385E+0	4.00000000E+0	5.77109286E-1	0.00000000E+0
45	15/03/2023	18:07:39.154	0.00000000E+0	-3.97952966E+0	4.00000000E+0	5.71206653E-1	0.00000000E+0
47	15/03/2023	18:07:42.120	0.00000000E+0	-3.87445198E+0	4.00000000E+0	6.20415894E-1	0.00000000E+0
49	15/03/2023	18:07:45.123	0.00000000E+0	-3.76975779E+0	4.00000000E+0	6.70068420E-1	0.00000000E+0
51	15/03/2023	18:07:48.154	0.00000000E+0	-3.66506360E+0	4.00000000E+0	5.84371549E-1	0.00000000E+0
53	15/03/2023	18:07:51.153	0.00000000E+0	-3.56036941E+0	4.00000000E+0	5.91740875E-1	0.00000000E+0
55	15/03/2023	18:07:54.143	0.00000000E+0	-3.45567522E+0	4.00000000E+0	6.20522772E-1	0.00000000E+0
57	15/03/2023	18:07:57.149	0.00000000E+0	-3.35098103E+0	4.00000000E+0	6.36429232E-1	0.00000000E+0
59	15/03/2023	18:08:00.172	0.00000000E+0	-3.24628684E+0	4.00000000E+0	6.04707565E-1	0.00000000E+0
61	15/03/2023	18:08:03.200	0.00000000E+0	-3.14159265E+0	4.00000000E+0	6.14187379E-1	0.00000000E+0
63	15/03/2023	18:08:06.210	0.00000000E+0	-3.03689846E+0	4.00000000E+0	6.18361999E-1	0.00000000E+0
