#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
44	10/05/2023	13:36:06.089	2.75234503E+0	-8.18000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
45	10/05/2023	13:36:07.662	6.02931149E+0	-8.49000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
46	10/05/2023	13:36:09.140	2.85358776E+0	-8.77000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
47	10/05/2023	13:36:10.705	1.87912647E+0	-8.94000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
48	10/05/2023	13:36:12.166	3.66046166E+0	-9.02000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
49	10/05/2023	13:36:13.682	3.33334025E+0	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
50	10/05/2023	13:36:15.261	2.82597611E+0	-9.06000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
51	10/05/2023	13:36:16.731	6.90291355E-1	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
52	10/05/2023	13:36:18.195	3.49862668E+0	-8.96000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
53	10/05/2023	13:36:19.785	5.80803476E+0	-8.79000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
54	10/05/2023	13:36:21.312	2.59702947E+0	-8.64000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
55	10/05/2023	13:36:22.854	7.98437000E-1	-8.49000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
56	10/05/2023	13:36:24.327	1.94662162E+0	-8.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
57	10/05/2023	13:36:25.811	4.47347147E+0	-8.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
58	10/05/2023	13:36:27.361	1.66245168E+0	-8.42000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
59	10/05/2023	13:36:28.833	4.34806854E+0	-8.84000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
60	10/05/2023	13:36:30.353	3.96495684E+0	-8.99000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
61	10/05/2023	13:36:31.778	3.72565584E+0	-9.06000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
62	10/05/2023	13:36:33.319	5.26653954E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
63	10/05/2023	13:36:34.778	3.70878205E+0	-9.02000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
64	10/05/2023	13:36:36.273	1.58268468E+0	-8.97000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
65	10/05/2023	13:36:37.776	3.63936942E-1	-8.69000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
66	10/05/2023	13:36:39.379	4.77528219E+0	-8.37000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
67	10/05/2023	13:36:40.849	3.99947141E+0	-7.95000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
68	10/05/2023	13:36:42.352	4.13292774E+0	-7.92000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
69	10/05/2023	13:36:43.825	3.31800044E+0	-8.29000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
70	10/05/2023	13:36:45.365	7.06398153E-1	-8.64000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
71	10/05/2023	13:36:46.934	1.79935946E+0	-8.87000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
72	10/05/2023	13:36:48.428	3.34331113E+0	-9.00000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
73	10/05/2023	13:36:49.932	1.14013122E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
74	10/05/2023	13:36:51.481	5.96335031E-1	-9.01000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
75	10/05/2023	13:36:53.008	5.60976774E+0	-9.00000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
76	10/05/2023	13:36:54.503	2.77727222E+0	-8.79000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
77	10/05/2023	13:36:55.969	4.97469970E+0	-8.46000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
78	10/05/2023	13:36:57.463	2.51304403E+0	-8.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
79	10/05/2023	13:36:59.040	8.11859332E-1	-7.76000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
80	10/05/2023	13:37:00.527	4.62686955E+0	-8.13000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
81	10/05/2023	13:37:02.003	3.53966067E+0	-8.59000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
82	10/05/2023	13:37:03.515	3.19259751E+0	-8.84000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
83	10/05/2023	13:37:04.996	4.94325309E-1	-9.01000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
84	10/05/2023	13:37:06.543	3.70763156E+0	-9.07000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
85	10/05/2023	13:37:08.020	5.70602504E+0	-9.08000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
86	10/05/2023	13:37:09.492	4.17396172E+0	-8.95000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
87	10/05/2023	13:37:11.080	2.24996632E+0	-8.78000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
88	10/05/2023	13:37:12.590	4.42246661E+0	-8.48000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
89	10/05/2023	13:37:14.048	4.64144237E+0	-8.01000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
90	10/05/2023	13:37:15.564	5.85136972E+0	-7.78000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
91	10/05/2023	13:37:17.026	5.01726766E+0	-8.20000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
92	10/05/2023	13:37:18.602	4.52831129E+0	-8.71000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
93	10/05/2023	13:37:20.036	5.11966088E-1	-8.94000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
94	10/05/2023	13:37:21.525	2.86394213E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
95	10/05/2023	13:37:23.105	6.08798625E+0	-9.05000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
96	10/05/2023	13:37:24.656	1.14703413E+0	-9.01000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
97	10/05/2023	13:37:26.206	4.75342297E+0	-8.84000000E+2	2.00000000E+0	-9.70224929E+0	7.15857500E+6
