#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	10/05/2023	13:49:01.002	4.45736467E+0	-8.81000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
2	10/05/2023	13:49:02.547	1.38250019E+0	-8.81000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
3	10/05/2023	13:49:04.034	3.66429661E+0	-8.81000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
4	10/05/2023	13:49:05.526	1.17541278E+0	-8.79000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
5	10/05/2023	13:49:07.049	1.13054384E+0	-8.71000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
6	10/05/2023	13:49:08.516	4.09572870E-1	-8.77000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
7	10/05/2023	13:49:10.114	4.74767054E-1	-8.71000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
8	10/05/2023	13:49:11.569	3.98835005E-2	-8.66000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
9	10/05/2023	13:49:13.000	1.74375266E+0	-8.72000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
10	10/05/2023	13:49:14.575	1.97998570E+0	-8.72000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
11	10/05/2023	13:49:16.022	3.62172864E+0	-8.67000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
12	10/05/2023	13:49:17.486	1.65900022E+0	-8.86000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
13	10/05/2023	13:49:19.145	4.15747143E+0	-8.65000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
14	10/05/2023	13:49:20.586	2.31746148E+0	-8.67000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
15	10/05/2023	13:49:22.161	6.24330181E-1	-8.60000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
16	10/05/2023	13:49:23.648	6.20878724E-1	-8.66000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
17	10/05/2023	13:49:25.088	6.12403480E+0	-8.58000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
18	10/05/2023	13:49:26.652	3.45145677E-2	-8.71000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
19	10/05/2023	13:49:28.114	2.64074793E+0	-8.70000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
20	10/05/2023	13:49:29.574	2.30250516E+0	-8.67000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
21	10/05/2023	13:49:31.141	3.47293250E+0	-8.59000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
22	10/05/2023	13:49:32.627	4.09918016E+0	-8.60000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
23	10/05/2023	13:49:34.187	5.17488419E+0	-8.62000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
24	10/05/2023	13:49:35.665	5.37200072E+0	-8.55000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
25	10/05/2023	13:49:37.173	7.09466114E-1	-8.56000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
26	10/05/2023	13:49:38.726	6.26477754E+0	-8.56000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
27	10/05/2023	13:49:40.220	4.81554919E+0	-8.50000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
28	10/05/2023	13:49:41.762	4.15440347E+0	-8.32000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
29	10/05/2023	13:49:43.261	7.98053505E-1	-8.13000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
30	10/05/2023	13:49:44.750	6.07111246E+0	-7.90000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
31	10/05/2023	13:49:46.288	3.52317037E+0	-7.88000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
32	10/05/2023	13:49:47.760	1.80779636E+0	-8.07000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
33	10/05/2023	13:49:49.192	3.52470436E+0	-8.31000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
34	10/05/2023	13:49:50.588	1.64979634E+0	-8.57000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
35	10/05/2023	13:49:52.038	4.25909766E+0	-8.69000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
36	10/05/2023	13:49:53.557	5.73248620E+0	-8.79000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
37	10/05/2023	13:49:55.038	2.07931096E+0	-8.94000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
38	10/05/2023	13:49:56.540	2.49693723E+0	-9.00000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
39	10/05/2023	13:49:58.088	2.41103430E+0	-9.04000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
40	10/05/2023	13:49:59.609	4.70356859E+0	-9.06000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
41	10/05/2023	13:50:01.218	2.79951494E+0	-9.06000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
42	10/05/2023	13:50:02.657	8.93543809E-1	-9.03000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
43	10/05/2023	13:50:04.119	6.15356393E+0	-8.99000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
44	10/05/2023	13:50:05.635	1.09794675E+0	-8.92000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
45	10/05/2023	13:50:07.076	6.11636490E+0	-8.80000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
46	10/05/2023	13:50:08.542	1.04233995E+0	-8.63000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
47	10/05/2023	13:50:10.089	4.23800542E+0	-8.45000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
48	10/05/2023	13:50:11.562	3.83456847E+0	-8.22000000E+2	2.00000000E+0	-9.52665848E+0	7.15786100E+6
