Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1490404830,32456169.331505015,30456145.788945563,2000.024,3.80449e14,4.5538,-1.57627e6,8.06506e5,-2.02331e-9
1490404860,32454059.49446899,30442081.15867927,2011.978,3.81121e14,4.3852,-1.58790e6,8.11756e5,-2.03648e-9
1490404890,32451895.021641046,30427975.92004998,2023.919,4.00918e14,0.5814,-1.63875e6,8.17009e5,-2.04965e-9
1490404920,32449675.924864795,30413830.196142446,2035.846,4.06012e14,1.8594,-1.65980e6,8.22263e5,-2.06283e-9
1490404950,32447402.216287255,30399644.11079159,2047.758,4.12116e14,3.3907,-1.68308e6,8.27520e5,-2.07601e-9
1490404980,32445073.90835943,30385417.788585953,2059.656,4.09725e14,2.7909,-1.68878e6,8.32779e5,-2.08920e-9
1490405010,32442691.013836905,30371151.35487118,2071.540,4.00752e14,0.5399,-1.68058e6,8.38041e5,-2.10240e-9
1490405040,32440253.54578043,30356844.93575352,2083.409,3.99964e14,0.3420,-1.68947e6,8.43304e5,-2.11560e-9
1490405070,32437761.517556485,30342498.65810326,2095.263,3.99600e14,0.2508,-1.69924e6,8.48570e5,-2.12881e-9
1490405100,32435214.94283789,30328112.649558216,2107.102,4.02248e14,0.9151,-1.71546e6,8.53839e5,-2.14202e-9
1490405130,32432613.835575048,30313687.038522206,2118.927,4.04633e14,1.5134,-1.73119e6,8.59109e5,-2.15524e-9
1490405160,32429958.2100871,30299221.954183996,2130.736,4.02009e14,0.8550,-1.73612e6,8.64382e5,-2.16846e-9
1490405190,32427248.080971785,30284717.5265053,2142.531,3.96327e14,0.5703,-1.73432e6,8.69657e5,-2.18169e-9
1490405220,32424483.463135123,30270173.88622924,2154.310,4.00643e14,0.5125,-1.75432e6,8.74935e5,-2.19493e-9
1490405250,32421664.371791873,30255591.16488381,2166.073,4.10381e14,2.9555,-1.78640e6,8.80214e5,-2.20817e-9
1490405280,32418790.822465893,30240969.49478535,2177.821,4.03962e14,1.3451,-1.78286e6,8.85496e5,-2.22142e-9
1490405310,32415862.830990545,30226309.009042125,2189.554,3.98310e14,0.0729,-1.78087e6,8.90780e5,-2.23467e-9
1490405340,32412880.413509116,30211609.841557734,2201.271,3.96202e14,0.6017,-1.78670e6,8.96067e5,-2.24793e-9
1490405370,32409843.586475186,30196872.12703475,2212.971,3.88216e14,2.6052,-1.77919e6,9.01355e5,-2.26119e-9
1490405400,32406752.36665313,30182096.00097824,2224.656,3.86442e14,3.0503,-1.78559e6,9.06646e5,-2.27446e-9
1490405430,32403606.771141596,30167281.59971638,2236.325,3.96867e14,0.4349,-1.81987e6,9.11940e5,-2.28773e-9
1490405460,32400406.817302797,30152429.06035163,2247.978,4.04321e14,1.4351,-1.84758e6,9.17235e5,-2.30101e-9
1490405490,32397152.522834435,30137538.52081694,2259.614,4.02161e14,0.8934,-1.85325e6,9.22533e5,-2.31430e-9
1490405520,32393843.905747216,30122610.119862564,2271.234,3.94002e14,1.1535,-1.84491e6,9.27832e5,-2.32759e-9
1490405550,32390480.9843656,30107643.99705985,2282.837,4.03949e14,1.3419,-1.87874e6,9.33134e5,-2.34089e-9
1490405580,32387063.777328484,30092640.29280505,2294.423,4.05232e14,1.6638,-1.89243e6,9.38439e5,-2.35419e-9
1490405610,32383592.30359,30077599.14832327,2305.993,3.93847e14,1.1925,-1.87618e6,9.43745e5,-2.36750e-9
1490405640,32380066.582420204,30062520.705672238,2317.546,4.04572e14,1.4982,-1.91226e6,9.49054e5,-2.38081e-9
1490405670,32376486.633405864,30047405.107746255,2329.082,3.99054e14,0.1139,-1.90975e6,9.54365e5,-2.39413e-9
1490405700,32372852.476451248,30032252.498280056,2340.600,3.92658e14,1.4908,-1.90498e6,9.59677e5,-2.40746e-9
1490405730,32369164.13176705,30017063.0218419,2352.101,3.96883e14,0.4310,-1.92576e6,9.64993e5,-2.42079e-9
1490405760,32365421.61990779,30001836.823870894,2363.585,3.84857e14,3.4480,-1.90710e6,9.70310e5,-2.43412e-9
1490405790,32361624.96173584,29986574.050647344,2375.051,3.91140e14,1.8717,-1.93293e6,9.75629e5,-2.44746e-9
1490405820,32357774.178434044,29971274.849307477,2386.499,4.05689e14,1.7783,-1.97927e6,9.80951e5,-2.46081e-9
1490405850,32353869.291506413,29955939.367847238,2397.930,3.90596e14,2.0081,-1.95267e6,9.86274e5,-2.47416e-9
1490405880,32349910.322778866,29940567.755126104,2409.343,3.82632e14,4.0061,-1.94340e6,9.91600e5,-2.48751e-9
1490405910,32345897.294399913,29925160.160870932,2420.737,3.89644e14,2.2471,-1.97138e6,9.96927e5,-2.50087e-9
1490405940,32341830.228841465,29909716.735679794,2432.113,3.99422e14,0.2062,-2.00650e6,1.00226e6,-2.51424e-9
1490405970,32337709.148899425,29894237.63102573,2443.472,4.06751e14,2.0448,-2.03570e6,1.00759e6,-2.52761e-9
1490406000,32333534.077694505,29878722.99926062,2454.811,3.97556e14,0.2621,-2.02311e6,1.01292e6,-2.54099e-9
1490406030,32329305.038669724,29863172.993613213,2466.132,3.97909e14,0.1735,-2.03467e6,1.01826e6,-2.55437e-9
1490406060,32325022.055601023,29847587.768210683,2477.434,4.01158e14,0.6417,-2.05367e6,1.02360e6,-2.56776e-9
1490406090,32320685.15258824,29831967.478064697,2488.718,3.97294e14,0.3278,-2.05441e6,1.02894e6,-2.58115e-9
1490406120,32316294.354058906,29816312.279080976,2499.982,3.99150e14,0.1379,-2.06989e6,1.03428e6,-2.59455e-9
1490406150,32311849.684769075,29800622.32806301,2511.227,3.98069e14,0.1333,-2.07777e6,1.03962e6,-2.60795e-9
1490406180,32307351.16980406,29784897.782715898,2522.453,3.97548e14,0.2640,-2.08708e6,1.04497e6,-2.62135e-9
1490406210,32302798.83457925,29769138.801650196,2533.660,4.05283e14,1.6765,-2.11814e6,1.05032e6,-2.63477e-9
1490406240,32298192.704840876,29753345.544385653,2544.847,4.09063e14,2.6249,-2.13894e6,1.05567e6,-2.64818e-9
1490406270,32293532.806666855,29737518.171355147,2556.015,4.04971e14,1.5982,-2.13889e6,1.06102e6,-2.66160e-9
1490406300,32288819.166467633,29721656.843908444,2567.162,4.00097e14,0.3756,-2.13664e6,1.06637e6,-2.67503e-9
1490406330,32284051.81100181,29705761.724333286,2578.290,4.05012e14,1.6085,-2.16058e6,1.07173e6,-2.68846e-9
1490406360,32279230.767331466,29689832.97580641,2589.398,4.00707e14,0.5285,-2.15975e6,1.07708e6,-2.70189e-9
1490406390,32274356.06286878,29673870.762450438,2600.485,3.88358e14,2.5695,-2.13696e6,1.08244e6,-2.71533e-9
1490406420,32269427.725362167,29657875.249320794,2611.552,3.95640e14,0.7426,-2.16741e6,1.08780e6,-2.72877e-9
1490406450,32264445.78289749,29641846.602409758,2622.599,4.06734e14,2.0406,-2.20852e6,1.09316e6,-2.74222e-9
1490406480,32259410.263898965,29625784.98865052,2633.625,4.03707e14,1.2810,-2.21101e6,1.09853e6,-2.75567e-9
1490406510,32254321.19713036,29609690.57592132,2644.631,3.97360e14,0.3111,-2.20424e6,1.10389e6,-2.76913e-9
1490406540,32249178.61169599,29593563.53304948,2655.615,3.93455e14,1.2910,-2.20408e6,1.10926e6,-2.78259e-9
1490406570,32243982.537041858,29577404.029815547,2666.579,3.85064e14,3.3959,-2.19129e6,1.11463e6,-2.79605e-9
1490406600,32238733.002956804,29561212.236957364,2677.521,3.84523e14,3.5317,-2.20033e6,1.12000e6,-2.80952e-9
1490406630,32233430.039557215,29544988.32615748,2688.442,3.96085e14,0.6310,-2.24352e6,1.12537e6,-2.82300e-9
1490406660,32228073.677338462,29528732.47009881,2699.341,3.96933e14,0.4182,-2.25664e6,1.13075e6,-2.83647e-9
1490406690,32222663.9471256,29512444.842416923,2710.219,3.93437e14,1.2953,-2.25740e6,1.13612e6,-2.84995e-9
1490406720,32217200.88009064,29496125.617720794,2721.075,3.95744e14,0.7166,-2.27469e6,1.14150e6,-2.86344e-9
1490406750,32211684.507753544,29479774.971596785,2731.910,3.97388e14,0.3041,-2.29013e6,1.14688e6,-2.87693e-9
1490406780,32206114.86198331,29463393.08061256,2742.722,3.96302e14,0.5766,-2.29774e6,1.15226e6,-2.89042e-9
1490406810,32200491.9749989,29446980.122321114,2753.512,4.02226e14,0.9096,-2.32567e6,1.15764e6,-2.90391e-9
1490406840,32194815.879370313,29430536.275264684,2764.280,4.07515e14,2.2364,-2.35191e6,1.16302e6,-2.91741e-9
1490406870,32189086.608019564,29414061.718978725,2775.025,3.96574e14,0.5085,-2.33073e6,1.16841e6,-2.93092e-9
1490406900,32183304.19422177,29397556.633995887,2785.748,3.94086e14,1.1325,-2.33415e6,1.17379e6,-2.94442e-9
1490406930,32177468.671617627,29381021.20186214,2796.447,3.88564e14,2.5180,-2.32852e6,1.17918e6,-2.95793e-9
