Timestamp,R_A,R_B,Delta_H_km,GM,Error_Pct,Term_Time,Term_Kinetic,Term_Potential
1504830030,29030060.86638873,32078560.705427296,3048.500,4.04008e14,1.3566,2.62782e6,-1.30527e6,3.27358e-9
1504830060,29047367.18402496,32085595.173622027,3038.228,3.98543e14,0.0143,2.59902e6,-1.29981e6,3.25989e-9
1504830090,29064646.94082405,32092576.937324077,3027.930,3.96074e14,0.6338,2.58010e6,-1.29436e6,3.24621e-9
1504830120,29081899.931640055,32099505.95515709,3017.606,4.04811e14,1.5581,2.59747e6,-1.28891e6,3.23252e-9
1504830150,29099125.952430625,32106382.18612583,3007.256,4.02091e14,0.8758,2.57772e6,-1.28345e6,3.21884e-9
1504830180,29116324.800252732,32113205.58961475,2996.881,4.00531e14,0.4842,2.56176e6,-1.27800e6,3.20516e-9
1504830210,29133496.273258463,32119976.12538674,2986.480,3.96863e14,0.4358,2.53913e6,-1.27255e6,3.19148e-9
1504830240,29150640.17069059,32126693.753581665,2976.054,3.88912e14,2.4305,2.50298e6,-1.26710e6,3.17780e-9
1504830270,29167756.29287843,32133358.434715044,2965.602,4.00852e14,0.5649,2.52999e6,-1.26165e6,3.16413e-9
1504830300,29184844.44123345,32139970.129676715,2955.126,4.12838e14,3.5719,2.55682e6,-1.25620e6,3.15045e-9
1504830330,29201904.41827901,32146528.799724568,2944.624,4.12865e14,3.5787,2.54582e6,-1.25075e6,3.13678e-9
1504830360,29218936.027541295,32153034.40649831,2934.098,4.00836e14,0.5608,2.49716e6,-1.24530e6,3.12312e-9
1504830390,29235939.073650204,32159486.91200307,2923.548,3.95271e14,0.8353,2.46893e6,-1.23986e6,3.10945e-9
1504830420,29252913.362301305,32165886.27861296,2912.973,3.98913e14,0.0785,2.46936e6,-1.23441e6,3.09579e-9
1504830450,29269858.700251848,32172232.46906966,2902.374,3.91619e14,1.7514,2.43599e6,-1.22897e6,3.08213e-9
1504830480,29286774.895316795,32178525.446481097,2891.751,4.01834e14,0.8112,2.45654e6,-1.22353e6,3.06848e-9
1504830510,29303661.75636477,32184765.174320206,2881.103,4.02990e14,1.1012,2.44915e6,-1.21808e6,3.05483e-9
1504830540,29320519.09331419,32190951.616423573,2870.433,3.90193e14,2.1092,2.39929e6,-1.21264e6,3.04118e-9
1504830570,29337346.717129134,32197084.736990094,2859.738,3.99480e14,0.2207,2.41664e6,-1.20721e6,3.02753e-9
1504830600,29354144.439815458,32203164.50057979,2849.020,4.05085e14,1.6267,2.42265e6,-1.20177e6,3.01389e-9
1504830630,29370912.07438626,32209190.872120738,2838.279,3.94873e14,0.9350,2.38105e6,-1.19633e6,3.00025e-9
1504830660,29387649.434951898,32215163.816882417,2827.514,4.01060e14,0.6170,2.38871e6,-1.19090e6,2.98662e-9
1504830690,29404356.33662155,32221083.30049998,2816.727,4.05797e14,1.8054,2.39189e6,-1.18546e6,2.97299e-9
1504830720,29421032.595529586,32226949.2889648,2805.917,4.04903e14,1.5812,2.37829e6,-1.18003e6,2.95936e-9
1504830750,29437678.028831225,32232761.748623386,2795.084,4.04011e14,1.3575,2.36471e6,-1.17460e6,2.94574e-9
1504830780,29454292.454698224,32238520.646176197,2784.228,4.02263e14,0.9189,2.34866e6,-1.16917e6,2.93212e-9
1504830810,29470875.69231467,32244225.948676616,2773.350,3.99523e14,0.2315,2.32976e6,-1.16375e6,2.91850e-9
1504830840,29487427.56187259,32249877.62352978,2762.450,3.95711e14,0.7248,2.30782e6,-1.15832e6,2.90489e-9
1504830870,29503947.88456774,32255475.638491537,2751.528,3.98563e14,0.0095,2.30526e6,-1.15290e6,2.89128e-9
1504830900,29520436.482595257,32261019.96166734,2740.583,4.00383e14,0.4472,2.29965e6,-1.14748e6,2.87768e-9
1504830930,29536893.179170195,32266510.56150444,2729.617,3.91270e14,1.8392,2.26268e6,-1.14206e6,2.86408e-9
1504830960,29553317.79844686,32271947.40681173,2718.630,4.07361e14,2.1980,2.29782e6,-1.13664e6,2.85048e-9
1504830990,29569710.16559121,32277330.466737747,2707.620,4.04324e14,1.4360,2.27825e6,-1.13122e6,2.83689e-9
1504831020,29586070.10675199,32282659.71077635,2696.590,3.91146e14,1.8702,2.23013e6,-1.12581e6,2.82331e-9
1504831050,29602397.449056678,32287935.108765643,2685.538,4.07572e14,2.2507,2.26556e6,-1.12039e6,2.80973e-9
1504831080,29618692.020607445,32293156.630886886,2674.465,3.99574e14,0.2442,2.23225e6,-1.11498e6,2.79615e-9
1504831110,29634953.650477264,32298324.247663543,2663.371,3.85000e14,3.4122,2.18086e6,-1.10957e6,2.78258e-9
1504831140,29651182.16870572,32303437.929960113,2652.256,3.87621e14,2.7546,2.17749e6,-1.10416e6,2.76901e-9
1504831170,29667377.406295184,32308497.648981165,2641.120,3.97628e14,0.2439,2.19440e6,-1.09876e6,2.75545e-9
1504831200,29683539.19520667,32313503.376270305,2629.964,3.99847e14,0.3127,2.18969e6,-1.09335e6,2.74189e-9
1504831230,29699667.368336853,32318455.083712336,2618.788,3.91628e14,1.7493,2.15644e6,-1.08795e6,2.72834e-9
