Metric,Value
Year,2017
Total_Data_Points,116482
Global_Median_GM,3.9861329765e14
Global_Mean_GM,3.9860571881e14
Std_Deviation_GM,4.2067640739e12
Reference_GM,3.9860044180e14
Error_GM_Pct,0.003225
Recovered_G,6.6744906968e-11
Reference_G,6.6743000000e-11
Assumed_M_kg,5.9721904750e24
Error_G_Pct,0.002857
Recovered_M_kg,5.9723611112e24
Reference_M_kg,5.9721904750e24
Assumed_G,6.6743000000e-11
Error_M_Pct,0.002857
