#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	02/09/2022	15:49:46.120	7.87315639E-1	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
2	02/09/2022	15:49:47.506	7.22121456E-1	-2.51400000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
3	02/09/2022	15:49:48.906	2.06051969E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
4	02/09/2022	15:49:50.442	3.31224802E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
5	02/09/2022	15:49:51.827	9.66407896E-2	-2.51700000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
6	02/09/2022	15:49:53.218	3.18914606E+0	-2.51600000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
7	02/09/2022	15:49:54.599	3.37514123E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
8	02/09/2022	15:49:55.985	3.67925292E+0	-2.51600000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
9	02/09/2022	15:49:57.444	1.37636426E+0	-2.51500000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
10	02/09/2022	15:49:58.849	3.40160240E-1	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
11	02/09/2022	15:50:00.236	9.74077800E-2	-2.51400000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
12	02/09/2022	15:50:01.813	9.08116626E-1	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
13	02/09/2022	15:50:03.212	5.75933087E+0	-2.51700000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
14	02/09/2022	15:50:04.752	1.36600989E+0	-2.51400000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
15	02/09/2022	15:50:06.131	3.02999555E+0	-2.51600000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
16	02/09/2022	15:50:07.508	1.44194194E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
17	02/09/2022	15:50:09.055	1.89101482E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
18	02/09/2022	15:50:10.469	2.86624310E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
19	02/09/2022	15:50:11.918	1.22565065E+0	-2.51400000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
20	02/09/2022	15:50:13.432	8.87791381E-1	-2.51600000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
21	02/09/2022	15:50:14.819	6.12058334E+0	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
22	02/09/2022	15:50:16.253	1.92476239E+0	-2.51500000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
23	02/09/2022	15:50:17.639	1.98650512E-1	-2.51800000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
24	02/09/2022	15:50:19.029	2.88004893E+0	-2.51500000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
25	02/09/2022	15:50:20.638	3.73179176E+0	-2.51600000E+3	2.00000000E+0	-9.80603206E+0	7.16086800E+6
