#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	15/03/2023	17:15:29.164	2.07202455E+0	2.51600000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
2	15/03/2023	17:15:30.659	1.58882060E+0	-2.51300000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
3	15/03/2023	17:15:32.155	2.00107794E+0	2.51800000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
4	15/03/2023	17:15:33.654	9.55286536E-1	-2.47200000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
5	15/03/2023	17:15:35.151	3.81884517E+0	2.51600000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
6	15/03/2023	17:15:36.669	5.82337457E+0	-2.46400000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
7	15/03/2023	17:15:38.128	5.38619004E+0	2.50600000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
8	15/03/2023	17:15:39.596	3.06757808E+0	-2.46300000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
9	15/03/2023	17:15:41.106	5.08131136E+0	2.49100000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
10	15/03/2023	17:15:42.557	1.00514091E+0	-2.48800000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
11	15/03/2023	17:15:44.005	2.19704398E+0	2.49700000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
12	15/03/2023	17:15:45.494	5.05178223E+0	-2.48200000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
13	15/03/2023	17:15:46.979	4.06121414E+0	2.49200000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
14	15/03/2023	17:15:48.457	1.90520414E+0	-2.48700000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
15	15/03/2023	17:15:49.910	2.56941782E-1	2.48100000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
16	15/03/2023	17:15:51.371	3.39776745E-1	-2.49700000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
17	15/03/2023	17:15:52.903	5.98674352E+0	2.47200000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
18	15/03/2023	17:15:54.360	1.55967497E+0	-2.50100000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
19	15/03/2023	17:15:55.837	2.21084981E+0	2.46300000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
20	15/03/2023	17:15:57.509	1.47300505E+0	-2.43200000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
21	15/03/2023	17:15:59.061	2.63461200E+0	2.51500000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
22	15/03/2023	17:16:00.542	2.61198579E+0	-2.51000000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
23	15/03/2023	17:16:02.003	4.72466083E-1	2.42700000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
24	15/03/2023	17:16:03.493	5.90390856E+0	-2.47200000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
25	15/03/2023	17:16:04.983	5.12924826E+0	2.50800000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
26	15/03/2023	17:16:06.481	3.27926743E+0	-2.50900000E+3	2.00000000E+0	-9.80615121E+0	7.16635900E+6
