#Iteration	Date	Time	RTPhase	NFringe	AccelAxis	AccelMean	AccelTemp
1	12/06/2023	17:56:02.483	2.24229642E+0	-2.51900000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
2	12/06/2023	17:56:04.335	5.26538905E-1	-2.51800000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
3	12/06/2023	17:56:06.225	5.28264634E+0	-2.51600000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
4	12/06/2023	17:56:08.065	4.78065113E+0	-2.51700000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
5	12/06/2023	17:56:10.098	1.45689825E+0	-2.52000000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
6	12/06/2023	17:56:12.157	4.48344235E+0	-2.50900000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
7	12/06/2023	17:56:14.160	4.20425784E+0	-2.46300000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
8	12/06/2023	17:56:16.349	2.76001493E+0	-2.42400000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
9	12/06/2023	17:56:18.331	3.78049565E+0	-2.44600000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
10	12/06/2023	17:56:20.230	5.42492306E+0	-2.51300000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
11	12/06/2023	17:56:22.053	6.15586490E+0	-2.50800000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
12	12/06/2023	17:56:23.947	5.56950075E+0	-2.39200000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
13	12/06/2023	17:56:25.837	4.06313161E+0	-2.35900000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
14	12/06/2023	17:56:27.577	1.14243219E+0	-2.51200000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
15	12/06/2023	17:56:29.445	6.13515616E+0	-2.52100000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
16	12/06/2023	17:56:31.209	5.34477256E+0	-2.48300000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
17	12/06/2023	17:56:32.933	4.09381123E+0	-2.31200000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
18	12/06/2023	17:56:34.781	5.09128223E+0	-2.43300000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
19	12/06/2023	17:56:36.618	3.63553447E-1	-2.51500000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
20	12/06/2023	17:56:38.550	9.58354497E-1	-2.49600000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
21	12/06/2023	17:56:40.757	2.64726734E+0	-2.26400000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
22	12/06/2023	17:56:42.633	1.56082545E+0	-2.35300000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
23	12/06/2023	17:56:44.727	1.62371866E+0	-2.51300000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
24	12/06/2023	17:56:46.738	1.15048559E+0	-2.51400000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
25	12/06/2023	17:56:48.570	2.26147118E+0	-2.42800000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
26	12/06/2023	17:56:50.534	4.85466570E+0	-2.15600000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
27	12/06/2023	17:56:52.405	3.84914129E+0	-2.40400000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
28	12/06/2023	17:56:54.264	2.12839834E-1	-2.50700000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
29	12/06/2023	17:56:56.173	8.19912731E-1	-2.51200000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
30	12/06/2023	17:56:58.097	2.01488376E+0	-2.30200000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
31	12/06/2023	17:57:00.040	3.23094703E+0	-2.17000000E+3	2.00000000E+0	-9.80612648E+0	7.21921100E+6
