#Iteration	Date	Time	Chirp	Phase	RamanAxis	RatioMean	RatioStdDev
87	15/03/2023	16:58:06.508	0.00000000E+0	-1.78018470E+0	4.00000000E+0	5.48673184E-1	0.00000000E+0
89	15/03/2023	16:58:09.514	0.00000000E+0	-1.67549052E+0	4.00000000E+0	5.73513383E-1	0.00000000E+0
91	15/03/2023	16:58:12.503	0.00000000E+0	-1.57079633E+0	4.00000000E+0	6.54276668E-1	0.00000000E+0
93	15/03/2023	16:58:15.530	0.00000000E+0	-1.46610214E+0	4.00000000E+0	4.66460611E-1	0.00000000E+0
95	15/03/2023	16:58:18.496	0.00000000E+0	-1.36140795E+0	4.00000000E+0	3.20145609E-1	0.00000000E+0
97	15/03/2023	16:58:21.490	0.00000000E+0	-1.25671376E+0	4.00000000E+0	3.97378415E-1	0.00000000E+0
99	15/03/2023	16:58:24.497	0.00000000E+0	-1.15201957E+0	4.00000000E+0	3.79215460E-1	0.00000000E+0
101	15/03/2023	16:58:27.504	0.00000000E+0	-1.04732538E+0	4.00000000E+0	6.13814845E-1	0.00000000E+0
103	15/03/2023	16:58:30.449	0.00000000E+0	-9.42631194E-1	4.00000000E+0	5.13762091E-1	0.00000000E+0
105	15/03/2023	16:58:33.435	0.00000000E+0	-8.37937005E-1	4.00000000E+0	6.50714491E-1	0.00000000E+0
107	15/03/2023	16:58:36.406	0.00000000E+0	-7.32859321E-1	4.00000000E+0	5.67915820E-1	0.00000000E+0
109	15/03/2023	16:58:39.419	0.00000000E+0	-6.28165133E-1	4.00000000E+0	6.35667074E-1	0.00000000E+0
111	15/03/2023	16:58:42.433	0.00000000E+0	-5.23470944E-1	4.00000000E+0	4.03766584E-1	0.00000000E+0
113	15/03/2023	16:58:45.427	0.00000000E+0	-4.18776755E-1	4.00000000E+0	6.57739228E-1	0.00000000E+0
115	15/03/2023	16:58:48.472	0.00000000E+0	-3.14082566E-1	4.00000000E+0	3.49311970E-1	0.00000000E+0
117	15/03/2023	16:58:51.466	0.00000000E+0	-2.09388378E-1	4.00000000E+0	3.44512900E-1	0.00000000E+0
119	15/03/2023	16:58:54.484	0.00000000E+0	-1.04694189E-1	4.00000000E+0	3.43852155E-1	0.00000000E+0
121	15/03/2023	16:58:57.436	0.00000000E+0	0.00000000E+0	4.00000000E+0	4.50422154E-1	0.00000000E+0
123	15/03/2023	16:59:00.371	0.00000000E+0	1.04694189E-1	4.00000000E+0	3.97848013E-1	0.00000000E+0
125	15/03/2023	16:59:03.221	0.00000000E+0	2.09388378E-1	4.00000000E+0	6.39225988E-1	0.00000000E+0
127	15/03/2023	16:59:06.259	0.00000000E+0	3.14082566E-1	4.00000000E+0	4.81239859E-1	0.00000000E+0
129	15/03/2023	16:59:09.189	0.00000000E+0	4.18776755E-1	4.00000000E+0	6.09473330E-1	0.00000000E+0
