#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	20/03/2023	18:58:36.749	0.00000000E+0	-6.28318531E+0	4.00000000E+0	4.03782093E+0	2.50200000E+3	2.97537403E-1
3	20/03/2023	18:58:39.693	0.00000000E+0	-6.17849112E+0	4.00000000E+0	4.67710742E+0	2.45900000E+3	4.26323122E-1
5	20/03/2023	18:58:42.661	0.00000000E+0	-6.07379693E+0	4.00000000E+0	1.30771862E+0	2.50800000E+3	2.98596116E-1
7	20/03/2023	18:58:45.659	0.00000000E+0	-5.96910274E+0	4.00000000E+0	1.49256331E+0	2.52000000E+3	3.44934830E-1
9	20/03/2023	18:58:48.782	0.00000000E+0	-5.86440855E+0	4.00000000E+0	1.37406329E+0	2.49200000E+3	3.26768221E-1
11	20/03/2023	18:58:51.979	0.00000000E+0	-5.75971436E+0	4.00000000E+0	4.71814141E+0	2.50900000E+3	2.91256840E-1
13	20/03/2023	18:58:54.982	0.00000000E+0	-5.65502017E+0	4.00000000E+0	5.16184535E+0	2.50600000E+3	3.91769033E-1
15	20/03/2023	18:58:58.075	0.00000000E+0	-5.55032599E+0	4.00000000E+0	1.14550015E+0	2.46400000E+3	3.51001290E-1
17	20/03/2023	18:59:01.143	0.00000000E+0	-5.44524830E+0	4.00000000E+0	3.80312187E+0	2.47600000E+3	3.16722388E-1
19	20/03/2023	18:59:04.204	0.00000000E+0	-5.34055411E+0	4.00000000E+0	2.25610224E+0	2.49200000E+3	4.66931297E-1
21	20/03/2023	18:59:07.351	0.00000000E+0	-5.23585992E+0	4.00000000E+0	2.20778185E+0	2.50000000E+3	6.45369423E-1
23	20/03/2023	18:59:10.426	0.00000000E+0	-5.13116574E+0	4.00000000E+0	5.63776289E+0	2.51200000E+3	3.77188197E-1
25	20/03/2023	18:59:13.527	0.00000000E+0	-5.02647155E+0	4.00000000E+0	1.72611188E+0	2.48100000E+3	4.26759787E-1
27	20/03/2023	18:59:17.239	0.00000000E+0	-4.92177736E+0	4.00000000E+0	2.78340814E+0	2.44100000E+3	5.77888733E-1
29	20/03/2023	18:59:20.278	0.00000000E+0	-4.81708317E+0	4.00000000E+0	6.11099596E+0	2.51400000E+3	3.66568802E-1
31	20/03/2023	18:59:23.357	0.00000000E+0	-4.71238898E+0	4.00000000E+0	5.78502505E+0	2.50800000E+3	3.17370867E-1
33	20/03/2023	18:59:26.439	0.00000000E+0	-4.60769479E+0	4.00000000E+0	4.36264136E+0	2.48900000E+3	3.07315481E-1
35	20/03/2023	18:59:29.541	0.00000000E+0	-4.50300060E+0	4.00000000E+0	1.03505354E+0	2.50300000E+3	5.24132504E-1
37	20/03/2023	18:59:32.623	0.00000000E+0	-4.39830641E+0	4.00000000E+0	4.59542295E+0	2.47400000E+3	3.02389480E-1
39	20/03/2023	18:59:35.715	0.00000000E+0	-4.29361223E+0	4.00000000E+0	2.85972368E+0	2.50000000E+3	5.46336280E-1
41	20/03/2023	18:59:38.804	0.00000000E+0	-4.18891804E+0	4.00000000E+0	3.95920441E+0	2.51400000E+3	4.24748830E-1
43	20/03/2023	18:59:41.894	0.00000000E+0	-4.08422385E+0	4.00000000E+0	4.52255886E+0	2.49700000E+3	4.84885660E-1
45	20/03/2023	18:59:44.936	0.00000000E+0	-3.97952966E+0	4.00000000E+0	1.35757300E+0	2.47100000E+3	6.05278212E-1
