#k Index:	0.00000000E+0
#Current Chirp:	0.00000000E+0
#Current Phase:	-6.17849112E+0
#Raman Axis:	4.00000000E+0
#RT Freq 1:	4.92356252E+5
#RT Freq 2:	2.45614094E+5
#RT Freq 3:	2.46217125E+5
#Sum Freq 1:	3.51749671E+7
#Sum Freq 2:	3.54205812E+7
#Sum Freq 3:	3.56667984E+7
#RT Phase:	4.67710742E+0
#Total Phase 3:	1.54551345E+4
#NFringe:	2.45900000E+3
#Accel Axis:	2.00000000E+0
#Accel Mean:	-9.76739204E+0
#Accel Temp:	7.15526000E+6
#Time Step:	2.00000000E-6
#Date Stamp:	20/03/2023
#Time Stamp:	18:58:39.693
-6.91734E-3	-9.62061E-4	-3.85922E-3
-9.97545E-3	3.25566E-4	-5.62971E-3
-1.25507E-2	3.65957E-6	-6.75638E-3
-1.27117E-2	-6.40154E-4	-4.02018E-3
-8.52687E-3	-6.40154E-4	-5.46876E-3
-7.72210E-3	3.65957E-6	2.73987E-3
3.22273E-3	8.11241E-2	1.40066E-2
8.85609E-3	1.02209E-1	1.22361E-2
8.53419E-3	1.05750E-1	1.41676E-2
7.72942E-3	1.05428E-1	1.36847E-2
1.23971E-2	1.05106E-1	1.30409E-2
9.98277E-3	1.04462E-1	1.33628E-2
7.08561E-3	1.04623E-1	1.23971E-2
9.82182E-3	1.04140E-1	1.43285E-2
8.85609E-3	1.03819E-1	1.12704E-2
7.08561E-3	1.02209E-1	1.46504E-2
1.12704E-2	1.03014E-1	1.41676E-2
1.15923E-2	1.03175E-1	1.25580E-2
7.08561E-3	1.01887E-1	1.35237E-2
7.89037E-3	1.01726E-1	1.22361E-2
8.37323E-3	1.01887E-1	1.30409E-2
7.89037E-3	1.02048E-1	1.30409E-2
9.49991E-3	1.01726E-1	1.20752E-2
9.98277E-3	1.00760E-1	1.20752E-2
7.89037E-3	1.00760E-1	1.33628E-2
7.89037E-3	1.00438E-1	1.14313E-2
8.05133E-3	9.97947E-2	1.17533E-2
6.11989E-3	9.88290E-2	1.09485E-2
7.40751E-3	9.93118E-2	1.40066E-2
9.82182E-3	9.91509E-2	8.85609E-3
7.72942E-3	9.91509E-2	9.98277E-3
9.01705E-3	9.85071E-2	1.19142E-2
8.37323E-3	9.83461E-2	1.25580E-2
6.92465E-3	9.73804E-2	1.25580E-2
1.03047E-2	9.67366E-2	1.22361E-2
1.12704E-2	9.80242E-2	1.17533E-2
9.01705E-3	9.70585E-2	1.33628E-2
1.07875E-2	9.72194E-2	1.11094E-2
9.33896E-3	9.65756E-2	1.22361E-2
7.72942E-3	9.60928E-2	1.30409E-2
1.07875E-2	9.54489E-2	1.03047E-2
1.12704E-2	9.62537E-2	1.11094E-2
9.17800E-3	9.62537E-2	1.20752E-2
9.01705E-3	9.57709E-2	1.01437E-2
8.69514E-3	9.54489E-2	1.19142E-2
5.95893E-3	9.43223E-2	1.12704E-2
1.11094E-2	9.43223E-2	1.23971E-2
1.14313E-2	9.48051E-2	1.17533E-2
6.28084E-3	9.36785E-2	1.38456E-2
8.85609E-3	9.43223E-2	1.19142E-2
9.33896E-3	9.36785E-2	1.04656E-2
7.24656E-3	9.25518E-2	1.07875E-2
1.15923E-2	9.28737E-2	1.32018E-2
1.03047E-2	9.28737E-2	1.20752E-2
9.82182E-3	9.19080E-2	1.03047E-2
9.17800E-3	9.28737E-2	1.03047E-2
9.49991E-3	9.17470E-2	9.17800E-3
6.11989E-3	9.17470E-2	9.66086E-3
1.17533E-2	9.15861E-2	1.06266E-2
1.03047E-2	9.20689E-2	9.01705E-3
8.21228E-3	9.09423E-2	9.01705E-3
9.01705E-3	9.06204E-2	1.07875E-2
6.92465E-3	9.07813E-2	7.08561E-3
5.95893E-3	8.99765E-2	8.05133E-3
8.53419E-3	8.99765E-2	1.06266E-2
8.37323E-3	8.96546E-2	6.76370E-3
8.69514E-3	8.94937E-2	7.89037E-3
7.24656E-3	9.02984E-2	7.72942E-3
7.72942E-3	8.93327E-2	8.37323E-3
4.51035E-3	8.90108E-2	8.05133E-3
6.92465E-3	8.88499E-2	9.01705E-3
1.07875E-2	8.85280E-2	7.89037E-3
8.37323E-3	8.86889E-2	6.92465E-3
1.06266E-2	8.83670E-2	9.98277E-3
6.76370E-3	8.90108E-2	8.21228E-3
7.40751E-3	8.78841E-2	9.17800E-3
8.21228E-3	8.82061E-2	8.05133E-3
9.33896E-3	8.78841E-2	7.72942E-3
8.53419E-3	8.83670E-2	8.85609E-3
1.11094E-2	8.75622E-2	5.95893E-3
8.85609E-3	8.74013E-2	6.44179E-3
7.72942E-3	8.64356E-2	9.01705E-3
6.60275E-3	8.64356E-2	7.72942E-3
9.01705E-3	8.69184E-2	6.76370E-3
9.66086E-3	8.57918E-2	6.60275E-3
7.89037E-3	8.61137E-2	7.24656E-3
8.53419E-3	8.64356E-2	7.24656E-3
6.11989E-3	8.56308E-2	6.60275E-3
8.53419E-3	8.57918E-2	7.08561E-3
8.37323E-3	8.61137E-2	8.85609E-3
7.40751E-3	8.62746E-2	9.33896E-3
9.49991E-3	8.56308E-2	7.89037E-3
7.24656E-3	8.54699E-2	5.47607E-3
5.31512E-3	8.54699E-2	6.44179E-3
6.92465E-3	8.53089E-2	5.63703E-3
7.89037E-3	8.54699E-2	8.69514E-3
8.53419E-3	8.49870E-2	7.24656E-3
8.85609E-3	8.54699E-2	6.60275E-3
7.56847E-3	8.54699E-2	7.08561E-3
4.18845E-3	8.46651E-2	7.08561E-3
7.40751E-3	8.49870E-2	4.67131E-3
9.33896E-3	8.51479E-2	4.83226E-3
7.56847E-3	8.48260E-2	7.08561E-3
9.66086E-3	8.46651E-2	4.51035E-3
7.72942E-3	8.43432E-2	6.76370E-3
5.31512E-3	8.38603E-2	1.29129E-3
-2.89350E-3	2.15714E-2	-1.44492E-3
-8.84878E-3	4.51035E-3	-6.27352E-3
-8.84878E-3	2.25701E-3	-4.02018E-3
-6.27352E-3	1.13033E-3	-4.82494E-3
-8.68782E-3	4.86520E-4	-5.30780E-3
-1.02974E-2	6.47473E-4	-4.18113E-3
-9.97545E-3	6.47473E-4	-5.14685E-3
-8.04401E-3	6.47473E-4	-7.40020E-3
-8.52687E-3	1.64613E-4	-5.62971E-3
