#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	17/03/2023	16:44:56.774	0.00000000E+0	-6.28318531E+0	4.00000000E+0	6.13592315E-3	2.51000000E+3	5.20745228E-1
3	17/03/2023	16:44:59.983	0.00000000E+0	-6.17849112E+0	4.00000000E+0	1.50023321E+0	2.51200000E+3	3.27644994E-1
5	17/03/2023	16:45:03.205	0.00000000E+0	-6.07379693E+0	4.00000000E+0	2.05323328E+0	2.51500000E+3	3.90463906E-1
7	17/03/2023	16:45:06.241	0.00000000E+0	-5.96910274E+0	4.00000000E+0	2.87889844E+0	2.51800000E+3	3.64626395E-1
9	17/03/2023	16:45:09.316	0.00000000E+0	-5.86440855E+0	4.00000000E+0	1.99340803E+0	2.48000000E+3	3.18466635E-1
11	17/03/2023	16:45:12.458	0.00000000E+0	-5.75971436E+0	4.00000000E+0	6.00400080E+0	2.49100000E+3	3.18707296E-1
13	17/03/2023	16:45:15.520	0.00000000E+0	-5.65502017E+0	4.00000000E+0	2.60700035E+0	2.47300000E+3	4.27999458E-1
15	17/03/2023	16:45:18.590	0.00000000E+0	-5.55032599E+0	4.00000000E+0	1.44462641E+0	2.48400000E+3	5.08941639E-1
17	17/03/2023	16:45:21.683	0.00000000E+0	-5.44524830E+0	4.00000000E+0	3.62364612E+0	2.49800000E+3	6.37488371E-1
19	17/03/2023	16:45:24.795	0.00000000E+0	-5.34055411E+0	4.00000000E+0	9.39946728E-1	2.51200000E+3	5.67622164E-1
21	17/03/2023	16:45:27.905	0.00000000E+0	-5.23585992E+0	4.00000000E+0	3.44186939E+0	2.50600000E+3	4.94961476E-1
23	17/03/2023	16:45:30.984	0.00000000E+0	-5.13116574E+0	4.00000000E+0	4.58660256E-1	2.50900000E+3	3.01457681E-1
25	17/03/2023	16:45:34.137	0.00000000E+0	-5.02647155E+0	4.00000000E+0	6.18999597E+0	2.49800000E+3	4.23419590E-1
27	17/03/2023	16:45:37.241	0.00000000E+0	-4.92177736E+0	4.00000000E+0	4.55208799E-1	2.47800000E+3	3.30904632E-1
29	17/03/2023	16:45:40.453	0.00000000E+0	-4.81708317E+0	4.00000000E+0	3.21177227E+0	2.51100000E+3	4.25251638E-1
31	17/03/2023	16:45:43.513	0.00000000E+0	-4.71238898E+0	4.00000000E+0	4.82053463E-1	2.50100000E+3	4.43177782E-1
33	17/03/2023	16:45:46.684	0.00000000E+0	-4.60769479E+0	4.00000000E+0	4.73769966E+0	2.47800000E+3	3.51213327E-1
35	17/03/2023	16:45:49.854	0.00000000E+0	-4.50300060E+0	4.00000000E+0	1.00399043E+0	2.49500000E+3	5.66791374E-1
37	17/03/2023	16:45:52.952	0.00000000E+0	-4.39830641E+0	4.00000000E+0	4.45314623E+0	2.52100000E+3	3.06300993E-1
39	17/03/2023	16:45:56.035	0.00000000E+0	-4.29361223E+0	4.00000000E+0	2.88963631E+0	2.51000000E+3	3.07960493E-1
41	17/03/2023	16:45:59.214	0.00000000E+0	-4.18891804E+0	4.00000000E+0	1.75142256E+0	2.49800000E+3	6.48310975E-1
43	17/03/2023	16:46:02.365	0.00000000E+0	-4.08422385E+0	4.00000000E+0	3.03344701E+0	2.48900000E+3	6.73423956E-1
45	17/03/2023	16:46:05.486	0.00000000E+0	-3.97952966E+0	4.00000000E+0	3.06374313E+0	2.47000000E+3	3.32797115E-1
47	17/03/2023	16:46:08.737	0.00000000E+0	-3.87445198E+0	4.00000000E+0	3.28885481E+0	2.51200000E+3	2.95840864E-1
49	17/03/2023	16:46:11.873	0.00000000E+0	-3.76975779E+0	4.00000000E+0	2.50997606E+0	2.48200000E+3	5.77130807E-1
51	17/03/2023	16:46:15.008	0.00000000E+0	-3.66506360E+0	4.00000000E+0	4.58660256E-1	2.49000000E+3	3.42068403E-1
53	17/03/2023	16:46:18.096	0.00000000E+0	-3.56036941E+0	4.00000000E+0	1.73416528E+0	2.50800000E+3	5.78657166E-1
55	17/03/2023	16:46:21.253	0.00000000E+0	-3.45567522E+0	4.00000000E+0	5.13500069E+0	2.51300000E+3	4.17692215E-1
57	17/03/2023	16:46:24.451	0.00000000E+0	-3.35098103E+0	4.00000000E+0	5.19635992E-1	2.47800000E+3	6.13256617E-1
59	17/03/2023	16:46:27.544	0.00000000E+0	-3.24628684E+0	4.00000000E+0	6.18194258E-1	2.47000000E+3	6.75472484E-1
61	17/03/2023	16:46:30.708	0.00000000E+0	-3.14159265E+0	4.00000000E+0	3.45145677E+0	2.48500000E+3	3.23813905E-1
63	17/03/2023	16:46:33.745	0.00000000E+0	-3.03689846E+0	4.00000000E+0	2.63691297E+0	2.51400000E+3	5.57267879E-1
65	17/03/2023	16:46:36.816	0.00000000E+0	-2.93220428E+0	4.00000000E+0	5.89930662E+0	2.51700000E+3	4.57539077E-1
67	17/03/2023	16:46:39.984	0.00000000E+0	-2.82751009E+0	4.00000000E+0	3.82651508E+0	2.50700000E+3	6.44426133E-1
69	17/03/2023	16:46:43.146	0.00000000E+0	-2.72281590E+0	4.00000000E+0	1.90021870E+0	2.48200000E+3	6.57750054E-1
71	17/03/2023	16:46:46.247	0.00000000E+0	-2.61812171E+0	4.00000000E+0	4.93558319E+0	2.47500000E+3	6.12625930E-1
73	17/03/2023	16:46:49.415	0.00000000E+0	-2.51342752E+0	4.00000000E+0	5.40728228E+0	2.49600000E+3	3.09576950E-1
75	17/03/2023	16:46:52.515	0.00000000E+0	-2.40873333E+0	4.00000000E+0	9.15403035E-1	2.50700000E+3	3.50894720E-1
77	17/03/2023	16:46:55.656	0.00000000E+0	-2.30365565E+0	4.00000000E+0	4.01135976E+0	2.51000000E+3	6.59387364E-1
79	17/03/2023	16:46:58.780	0.00000000E+0	-2.19896146E+0	4.00000000E+0	3.02922856E+0	2.50500000E+3	6.91950176E-1
81	17/03/2023	16:47:01.868	0.00000000E+0	-2.09426727E+0	4.00000000E+0	4.64872878E+0	2.49800000E+3	6.45122694E-1
83	17/03/2023	16:47:04.942	0.00000000E+0	-1.98957308E+0	4.00000000E+0	4.91717542E+0	2.48100000E+3	4.59969635E-1
85	17/03/2023	16:47:08.115	0.00000000E+0	-1.88487889E+0	4.00000000E+0	1.39783999E+0	2.48200000E+3	5.45232752E-1
87	17/03/2023	16:47:11.227	0.00000000E+0	-1.78018470E+0	4.00000000E+0	6.12671927E+0	2.50500000E+3	5.38022375E-1
89	17/03/2023	16:47:14.321	0.00000000E+0	-1.67549052E+0	4.00000000E+0	5.83833088E+0	2.51000000E+3	4.56300793E-1
91	17/03/2023	16:47:17.413	0.00000000E+0	-1.57079633E+0	4.00000000E+0	2.75349551E+0	2.50700000E+3	6.45847763E-1
93	17/03/2023	16:47:20.501	0.00000000E+0	-1.46610214E+0	4.00000000E+0	1.88219443E+0	2.49500000E+3	6.11680640E-1
